date,open,high,low,close,volume,amount,turnover
2021-04-06,13.6928016,16.43136192,13.6928016,16.43136192,216117,5585868.2600,0.864500
2021-04-07,18.07323026,18.07323026,18.07323026,18.07323026,124726,3555938.2600,0.498900
2021-04-08,19.87991936,19.87991936,19.87991936,19.87991936,71163,2231671.6800,0.284700
2021-04-09,21.870447,21.870447,21.870447,21.870447,119419,4119955.5000,0.477700
2021-04-12,24.0574917,24.0574917,24.0574917,24.0574917,242200,9191490.0000,0.968800
2021-04-13,26.4664105,26.4664105,26.4664105,26.4664105,272533,11378252.7500,1.090100
2021-04-14,29.11622118,29.11622118,29.11622118,29.11622118,151684,6966846.1200,0.606700
2021-04-15,32.02594152,32.02594152,26.21917936,26.61221348,16517170,744840676.8700,66.068700
2021-04-16,23.94972428,24.70409622,23.94972428,23.94972428,5390900,203844278.7100,21.563600
2021-04-19,24.5963288,24.5963288,22.6628545,22.70722932,10891806,401071915.2600,43.567200
2021-04-20,21.9021433,23.10026344,21.6168766,22.04794628,8807075,307421455.3300,35.228300
2021-04-21,21.72464402,23.12562048,21.55982326,22.89740712,8624426,303725258.8100,34.497700
2021-04-22,22.58044412,24.64704288,22.22544556,23.46160126,11001564,408848863.0700,44.006300
2021-04-23,22.8847286,23.2650842,21.12241432,21.19848544,9100489,316774535.4300,36.402000
2021-04-26,20.6659876,20.78009428,19.57563488,19.65804526,6794402,215630835.8000,27.177600
2021-04-27,19.66438452,20.46947054,19.46786746,20.1905431,5082612,160642423.8500,20.330400
2021-04-28,19.8418838,20.81179058,19.01778,20.1588468,5031056,157048081.1400,20.124200
2021-04-29,19.7150986,20.16518606,19.2079578,19.26501114,4199945,130242796.8200,16.799800
2021-04-30,19.26501114,19.28402892,18.45992512,18.5106392,3553942,105220167.1600,14.215800
2021-05-06,18.5740318,19.16992224,18.51697846,18.80224516,2894010,85854047.2900,11.576000
2021-05-07,18.87831628,20.68500538,18.2887651,20.68500538,5346326,168417700.8700,21.385300
2021-05-10,21.27455656,22.75160414,20.92589726,22.75160414,10387146,363884465.3400,41.548600
2021-05-11,23.05588862,24.04481318,20.68500538,21.08437876,12118243,427856739.2300,48.473000
2021-05-12,19.50590302,20.4124172,19.47420672,20.0637579,7141875,223883744.7300,28.567500
2021-05-13,19.651706,20.26661422,19.5566171,19.651706,4448038,139173716.9700,17.792200
2021-05-14,19.5249208,20.59625574,19.10019038,20.00670456,5296906,166292030.2100,21.187600
2021-05-17,20.285632,20.285632,18.9226911,19.02411926,4883942,148712821.2800,19.535800
2021-05-18,19.03679778,20.89420096,19.03679778,20.19688236,5367419,167951179.2300,21.469700
2021-05-19,19.82286602,20.74839798,19.651706,19.72777712,4734572,149995536.2400,18.938300
2021-05-20,19.6834023,19.96232974,19.16358298,19.44251042,3130164,95896940.9300,12.520700
2021-05-21,19.34108226,19.56295636,19.09385112,19.4932245,2435661,74393698.4000,9.742600
2021-05-24,19.8418838,19.98768678,19.00510148,19.04313704,2817603,85237523.0500,11.270400
2021-05-25,18.93536962,18.93536962,18.4472466,18.80858442,2892471,85205710.7600,11.569900
2021-05-26,18.78956664,19.19527928,18.59304958,19.05581556,2353921,70370055.1700,9.415700
2021-05-27,18.9543874,19.9369727,18.83394146,19.57563488,3978017,121844991.2300,15.912100
2021-05-28,19.43617116,19.56929562,19.01778,19.05581556,2793373,84691216.8900,11.173500
2021-05-31,19.2396541,19.68974156,18.96072666,19.334743,2511787,76254408.3200,10.047100
2021-06-01,19.89259788,20.90054022,19.61367044,19.968669,6640356,210919286.6100,26.561400
2021-06-02,19.67706304,21.9655359,19.65804526,21.9655359,6303509,210414753.6100,25.214000
2021-06-03,22.05428554,22.27615964,20.61527352,20.77375502,9017854,302559794.0200,36.071400
2021-06-04,20.3490246,20.71670168,19.7150986,19.75947342,5255041,166689160.6300,21.020200
2021-06-07,19.5883134,20.0954542,19.34742152,19.8735801,3306813,103009887.5400,13.227300
2021-06-08,19.7467949,19.85456232,19.22063632,19.37911782,3010641,92598343.4500,12.042600
2021-06-09,19.16992224,19.31572522,18.82126294,18.94804814,2664762,79986171.2000,10.659000
2021-06-10,19.09385112,19.6200097,19.01778,19.23331484,2657359,81033784.9000,10.629400
2021-06-11,19.63902748,19.63902748,18.9543874,19.02411926,2178624,65800974.5300,8.714500
2021-06-15,18.7325133,19.46786746,18.383854,19.32206448,3170447,93956767.0000,12.681800
2021-06-16,19.09385112,19.2079578,18.65010292,18.68813848,1678830,50016769.3900,6.715300
2021-06-17,18.8909948,19.3030467,18.87831628,18.9543874,1388091,41658162.5000,5.552400
2021-06-18,18.68813848,19.2079578,18.67545996,18.99876222,1518720,45428520.2900,6.074900
2021-06-21,18.9543874,19.13188668,18.73885256,18.96072666,1571010,47077059.0300,6.284000
2021-06-22,18.94804814,19.29670744,18.83394146,19.2713504,2087053,62815276.1500,8.348200
2021-06-23,19.27768966,19.334743,18.82126294,18.9226911,1905457,57259197.7500,7.621800
2021-06-24,18.9226911,18.9226911,18.32680066,18.4155503,2088929,61176631.5100,8.355700
2021-06-25,18.36483622,18.36483622,17.76894578,17.83867764,2472427,69840564.1900,9.889700
2021-06-28,17.749928,18.46626438,17.69287466,18.11126582,1513463,43069537.1400,6.053900
2021-06-29,18.11126582,18.6374244,17.86403468,18.40287178,2136263,61715805.1700,8.545100
2021-06-30,18.3204614,18.32680066,17.8767132,17.9401058,1536058,43672019.1500,6.144200
2021-07-01,17.8450169,18.1619799,17.6865354,17.71189244,1330064,37509738.4500,5.320300
2021-07-02,17.749928,17.76260652,16.90046716,16.93850272,2094966,56664417.2600,8.379900
2021-07-05,16.9892168,17.3378761,16.93850272,17.116002,1042664,28056632.2500,4.170700
2021-07-06,17.0209131,17.09698422,16.93850272,17.0843057,1012804,27181270.7900,4.051200
2021-07-07,17.09698422,17.53439316,17.09698422,17.26814424,1356519,37060424.8600,5.426100
2021-07-08,17.0843057,17.42662574,16.49475452,16.5454686,2003234,53521738.6800,8.012900
2021-07-09,16.5454686,16.71662862,16.24118412,16.62787898,1398205,36546902.5000,5.592800
2021-07-12,16.6088612,16.84341382,16.5454686,16.59618268,1137013,29895790.4600,4.548100
2021-07-13,16.6088612,16.799039,16.39966562,16.66591454,1277909,33385447.1600,5.111600
2021-07-14,16.74832492,16.90046716,16.50743304,16.5454686,967862,25517339.3100,3.871400
2021-07-15,16.48841526,16.60252194,16.27288042,16.2918982,1064881,27514137.8600,4.259500
2021-07-16,16.3235945,16.3869871,15.87350704,15.93056038,1321869,33414792.5600,5.287500
2021-07-19,16.02564928,16.02564928,15.214224,15.42341958,1382870,33883996.7400,5.531500
2021-07-20,15.27127734,15.51216922,15.2459203,15.38538402,694964,16867005.3600,2.779900
2021-07-21,15.6579722,16.482076,15.6579722,15.83547148,1874308,47397392.8200,7.497200
2021-07-22,15.83547148,15.83547148,15.4677944,15.4994907,1060811,26050113.4900,4.243200
2021-07-23,15.56922256,15.5945796,14.8655647,14.897261,1392092,33238473.2400,5.568400
2021-07-26,14.94797508,15.17618844,14.3901202,14.59297652,1030401,23937611.8800,4.121600
2021-07-27,14.65002986,14.85922544,14.31404908,14.33306686,1213106,27808146.0800,4.852400
2021-07-28,14.30137056,14.30137056,13.80056902,13.93369348,1294407,28510728.9200,5.177600
2021-07-29,14.0731572,14.44717354,14.01610386,14.1365498,908091,20318945.7200,3.632400
2021-07-30,14.0097646,14.3584239,14.0097646,14.33940612,930702,20857835.5400,3.722800
2021-08-02,14.40279872,14.65002986,14.24431722,14.60565504,979977,22409737.5700,3.919900
2021-08-03,14.49154836,14.72610098,14.37744168,14.4218165,951833,21892955.3000,3.807300
