date,open,high,low,close,volume,amount,turnover
2020-05-19,5.11647748,6.14172583,5.11647748,6.14172583,3419768,21432956.0000,0.575100
2020-05-20,6.75687484,6.75687484,6.75687484,6.75687484,1169745,8094635.0000,0.196700
2020-05-21,7.43060947,7.43060947,7.43060947,7.43060947,1285524,9782838.0000,0.216200
2020-05-22,8.17269399,8.17269399,8.17269399,8.17269399,17496150,146442776.0000,2.942500
2020-05-25,8.0067014,8.79760727,7.35249531,8.5925576,361298608,2893414778.0000,60.764000
2020-05-26,8.1043441,9.24676369,7.87976589,8.6902003,291455552,2562939148.0000,49.017700
2020-05-27,8.5925576,9.55922033,8.52420771,9.55922033,194258075,1836445605.0000,32.670800
2020-05-28,9.87167697,10.31106912,9.28582077,9.8619127,342485968,3443244007.0000,57.600100
2020-05-29,9.69592011,10.20366215,9.43228482,9.6666273,235088038,2365916617.0000,39.537600
2020-06-01,9.38346347,9.6666273,8.787843,9.30534931,208326567,1968042088.0000,35.036800
2020-06-02,9.21747088,9.84238416,9.20770661,9.42252055,177630869,1728854504.0000,29.874400
2020-06-03,9.23699942,9.34440639,8.9831284,9.06124256,147887206,1378042040.0000,24.872000
2020-06-04,9.12959245,9.1784138,8.47538636,8.52420771,155375557,1386042938.0000,26.131400
2020-06-05,8.3972722,8.44609355,8.06528702,8.14340118,122981911,1031527341.0000,20.683400
2020-06-08,8.07505129,8.35821512,7.95788005,8.25080815,94210249,786743939.0000,15.844500
2020-06-09,8.18245826,8.5925576,8.12387264,8.46562209,99398072,859405068.0000,16.717000
2020-06-10,8.3972722,8.3972722,8.05552275,8.1043441,76343306,637732577.0000,12.839600
2020-06-11,8.08481556,8.26057242,7.95788005,8.15316545,56975898,473053488.0000,9.582300
2020-06-12,7.94811578,8.15316545,7.811416,8.05552275,53946502,442661934.0000,9.072800
2020-06-15,7.95788005,8.15316545,7.82118027,7.88953016,67827859,553067335.0000,11.407400
2020-06-16,7.92858724,7.95788005,7.77235892,7.84070881,63441083,508976947.0000,10.669700
2020-06-17,7.86023735,7.9090587,7.75283038,7.811416,44255786,354902339.0000,7.443000
2020-06-18,7.80165173,7.80165173,7.49895936,7.55754498,74930923,582923611.0000,12.602100
2020-06-19,7.53801644,7.62589487,7.46966655,7.52825217,39997826,308763443.0000,6.726900
2020-06-22,7.54778071,7.57707352,7.44037374,7.46966655,41241819,316053775.0000,6.936100
2020-06-23,7.45013801,7.53801644,7.4208452,7.47943082,34529022,264660810.0000,5.807200
2020-06-24,7.49895936,7.53801644,7.38178812,7.38178812,35083645,267183545.0000,5.900400
2020-06-29,7.38178812,7.87000162,7.34273104,7.75283038,87035953,685643102.0000,14.637900
2020-06-30,7.67471622,7.75283038,7.55754498,7.67471622,52740763,412508349.0000,8.870100
2020-07-01,7.63565914,7.68448049,7.47943082,7.5184879,48547467,375690407.0000,8.164800
2020-07-02,7.5184879,7.57707352,7.45990228,7.56730925,44713368,344344015.0000,7.520000
2020-07-03,7.56730925,7.85047308,7.48919509,7.73330184,69125799,542532920.0000,11.625700
2020-07-06,7.80165173,8.13363691,7.75283038,8.12387264,112980840,923376110.0000,19.001400
2020-07-07,8.31915804,8.58279333,8.02622994,8.03599421,118423778,999821822.0000,19.916800
2020-07-08,8.01646567,8.15316545,7.93835151,8.11410837,75779880,625318510.0000,12.744800
2020-07-09,8.16292972,8.77807873,8.05552275,8.66090749,146751405,1258187037.0000,24.681000
2020-07-10,8.67067176,8.94407132,8.44609355,8.76831446,129884740,1160774441.0000,21.844300
2020-07-13,8.71949311,8.86595716,8.5925576,8.787843,103583660,926106993.0000,17.420900
2020-07-14,8.79760727,8.83666435,8.2019868,8.35821512,95816098,832991268.0000,16.114600
2020-07-15,8.38750793,8.42656501,8.0067014,8.04575848,59536636,499378256.0000,10.013000
2020-07-16,8.05552275,8.16292972,7.48919509,7.54778071,56433420,454461588.0000,9.491100
2020-07-17,7.56730925,7.64542341,7.44037374,7.6161306,37078990,287920282.0000,6.236000
2020-07-20,7.63565914,7.84070881,7.62589487,7.84070881,34132046,270875853.0000,5.740400
2020-07-21,7.84070881,7.87976589,7.72353757,7.78212319,29061883,231703108.8800,4.887700
2020-07-22,7.82118027,7.86023735,7.73330184,7.76259465,29782500,237909339.3100,5.008900
2020-07-23,7.73330184,7.73330184,7.47943082,7.6161306,33769047,262228908.7500,5.679400
2020-07-24,7.59660206,7.59660206,7.21579553,7.24508834,41205455,313063260.2100,6.930000
2020-07-27,7.31343823,7.35249531,7.04003867,7.06933148,28568802,209082252.1900,4.804800
2020-07-28,7.17673845,7.4208452,7.13768137,7.30367396,28594768,213735797.7700,4.809100
2020-07-29,7.30367396,7.41108093,7.20603126,7.40131666,29922499,224433951.7800,5.032400
2020-07-30,7.41108093,7.75283038,7.31343823,7.67471622,48691743,375515318.0100,8.189100
2020-07-31,7.69424476,7.74306611,7.54778071,7.68448049,41881792,328525529.0400,7.043800
2020-08-03,7.80165173,7.80165173,7.63565914,7.7137733,37484252,295723608.0800,6.304200
2020-08-04,7.72353757,7.73330184,7.52825217,7.54778071,33852574,263334857.0800,5.693400
2020-08-05,7.54778071,7.54778071,7.36225958,7.48919509,26227033,199984618.4700,4.410900
2020-08-06,7.45990228,7.67471622,7.44037374,7.59660206,30868659,239410420.9000,5.191600
2020-08-07,7.52825217,7.53801644,7.28414542,7.35249531,30891255,233594580.8600,5.195400
2020-08-10,7.26461688,7.40131666,7.23532407,7.37202385,17801699,133721334.4900,2.993900
2020-08-11,7.36225958,7.44037374,7.23532407,7.27438115,18849519,141846952.4400,3.170200
2020-08-12,7.23532407,7.27438115,7.08886002,7.18650272,22202388,162722373.4700,3.734000
2020-08-13,7.19626699,7.33296677,7.16697418,7.20603126,25717897,190493775.3100,4.325300
2020-08-14,7.20603126,7.20603126,7.10838856,7.18650272,15911854,116575979.6100,2.676100
2020-08-17,7.19626699,7.4208452,7.16697418,7.37202385,26813366,200100860.9200,4.509500
2020-08-18,7.33296677,7.37202385,7.28414542,7.33296677,19457812,145966716.6400,3.272500
2020-08-19,7.33296677,7.57707352,7.23532407,7.4208452,39605792,301762854.6600,6.661000
2020-08-20,7.36225958,7.36225958,7.23532407,7.25485261,19319136,144338692.3500,3.249100
2020-08-21,7.27438115,7.33296677,7.20603126,7.25485261,13484865,100281403.1300,2.267900
2020-08-24,7.29390969,7.29390969,7.19626699,7.23532407,10698679,79154099.0200,1.799300
2020-08-25,7.21579553,7.26461688,7.17673845,7.19626699,13763030,101624916.1000,2.314700
2020-08-26,7.19626699,7.23532407,7.08886002,7.09862429,15676417,114859375.4200,2.636500
2020-08-27,7.09862429,7.14744564,7.04003867,7.11815283,12700201,92261626.6100,2.135900
2020-08-28,7.08874026,7.08874026,6.94167096,7.02010792,21547171,153695805.0700,3.623900
2020-08-31,7.0103033,7.04952178,6.97108482,6.98088944,13882826,99282297.2000,2.334800
2020-09-01,7.00049868,7.00049868,6.93186634,6.95147558,12578980,89202769.4000,2.115600
2020-09-02,6.9612802,7.00049868,6.93186634,6.9612802,11810826,83891287.0800,1.986400
2020-09-03,6.9612802,6.99069406,6.84362476,6.87303862,16559715,116863507.1500,2.785100
2020-09-04,6.78479704,6.82401552,6.69655546,6.80440628,15583313,107211782.4700,2.620800
2020-09-07,6.77499242,6.88284324,6.75538318,6.7651878,12327300,85652202.0000,2.073200
2020-09-08,6.80440628,6.80440628,6.6671416,6.70636008,14575169,99691470.1000,2.451300
2020-09-09,6.62792312,6.64753236,6.43183072,6.45143996,25843049,171988633.9200,4.346300
2020-09-10,6.50046306,6.5200723,6.11808288,6.14749674,21255200,136088254.5100,3.574700
2020-09-11,6.13769212,6.45143996,5.95140434,6.373003,25014471,157258369.4800,4.207000
2020-09-14,6.34358914,6.41222148,6.28476142,6.30437066,13616839,88101803.4900,2.290100
2020-09-15,6.31417528,6.6181185,6.29456604,6.5200723,25834416,171288275.1700,4.344900
2020-09-16,6.49065844,6.5690954,6.35339376,6.46124458,16119666,106116036.6200,2.711000
2020-09-17,6.46124458,6.5690954,6.38280762,6.50046306,14534552,96171998.0000,2.444500
2020-09-18,6.50046306,6.53968154,6.45143996,6.5200723,11711245,77661956.8000,1.969600
2020-09-21,6.53968154,6.53968154,6.41222148,6.4220261,10084962,66482648.7500,1.696100
2020-09-22,6.35339376,6.373003,6.21612908,6.23573832,11226212,72179481.9300,1.888100
2020-09-23,6.28476142,6.863234,6.28476142,6.863234,38054296,263091328.0700,6.400100
2020-09-24,7.1083495,7.2063957,6.78479704,6.85342938,84753708,606492748.8800,14.254100
2020-09-25,6.77499242,6.87303862,6.48085382,6.53968154,39981343,270974618.3200,6.724200
2020-09-28,6.55929078,6.79460166,6.38280762,6.52987692,28311413,190277135.7800,4.761500
2020-09-29,6.53968154,6.59850926,6.41222148,6.41222148,17838353,117667821.2100,3.000100
2020-09-30,6.41222148,6.55929078,6.39261224,6.4220261,14761600,97233933.0000,2.482600
2020-10-09,7.06913102,7.06913102,7.06913102,7.06913102,23115787,166664824.2700,3.887700
2020-10-12,7.2554188,7.2554188,6.94167096,7.08874026,72279765,522783949.6400,12.156200
