date,open,high,low,close,volume,amount,turnover
2020-01-02,31.21801122,31.5177341,30.96512004,31.49900142,3004743,100480900.0,2.819400
2020-01-03,31.50836776,31.54583312,31.15244684,31.2835756,2248477,75157612.0,2.109800
2020-01-06,31.0494171,31.48026874,30.908922,31.21801122,2720632,90655895.0,2.552800
2020-01-07,31.20864488,31.77999162,31.08688246,31.76125894,3645715,122572148.0,3.420800
2020-01-08,32.2202096,33.16620994,32.18274424,32.23894228,7785408,271884469.0,7.305200
2020-01-09,32.85712072,33.68135864,32.4075364,33.55959622,7303268,258074582.0,6.852800
2020-01-10,33.36290308,33.65325962,33.11937824,33.21304164,4241522,150941820.0,3.979900
2020-01-13,32.89458608,33.0631802,32.37943738,32.8290217,4491313,156709070.0,4.214300
2020-01-14,32.78219,32.78219,32.4075364,32.41690274,3521541,122389854.0,3.304300
2020-01-15,32.47310078,32.72599196,32.313873,32.72599196,2732946,95031599.0,2.564400
2020-01-16,32.6885266,33.0163485,32.5011998,32.51056614,3182979,111403059.0,2.986700
2020-01-17,32.4543681,32.69789294,31.97668476,32.15464522,3022959,104086543.0,2.836500
2020-01-20,32.10781352,33.18494262,32.0328828,33.0631802,3849748,134905988.0,3.612300
2020-01-21,32.86648706,33.38163576,32.46373444,32.5011998,2888757,101094855.0,2.710600
2020-01-22,32.15464522,32.5480315,31.80809064,32.4075364,3158463,108666325.0,2.963600
2020-01-23,31.845556,32.05161548,29.972288,30.79652592,4152549,139294589.0,3.896400
2020-02-03,27.71500006,27.71500006,27.71500006,27.71500006,724800,21446832.0,0.680100
2020-02-04,24.94256342,27.4433762,24.94256342,26.85329678,5279943,149524678.0,4.954300
2020-02-05,27.0687226,27.99599026,26.94696018,27.19985136,3854865,112890948.0,3.617100
2020-02-06,27.19985136,27.88359418,26.7409007,27.48084156,2941595,86168316.0,2.760200
2020-02-07,27.34034646,28.2863468,27.14365332,28.2863468,3388676,100199985.0,3.179700
2020-02-10,28.0521883,28.77339648,27.73373274,28.5205053,3011977,91251206.0,2.826200
2020-02-11,28.5205053,29.01692132,28.34254484,28.48303994,2494479,75948611.0,2.340600
2020-02-12,28.5205053,28.9888223,28.31444582,28.92325792,3020488,92421498.0,2.834200
2020-02-13,28.7546638,29.85052558,28.6610004,29.04502034,3527200,110634635.0,3.309600
2020-02-14,29.02628766,29.60700074,28.79212916,28.9888223,2931154,91313202.0,2.750400
2020-02-17,29.15741642,29.93482264,29.01692132,29.89735728,3719346,117531463.0,3.489900
2020-02-18,29.98165434,30.32820892,29.60700074,30.12214944,3490724,111681487.0,3.275400
2020-02-19,30.12214944,30.3469416,29.8317929,29.8786246,3478534,111731646.0,3.264000
2020-02-20,29.93482264,30.21581284,29.503971,30.15024846,3403388,108844841.0,3.193500
2020-02-21,30.1127831,31.2835756,29.80369388,30.69349618,4069821,133728129.0,3.818800
