date,open,high,low,close,volume,amount,turnover
2020-01-02,23.89849,24.189935,23.8460299,23.9684368,1194700,49250880.0,6.274700
2020-01-03,23.6361895,24.4114332,23.6361895,24.2365662,1181900,48981035.0,6.207500
2020-01-06,24.3531442,24.7378516,24.2365662,24.48138,1357410,57038144.4,7.129300
2020-01-07,24.423091,24.597958,24.2365662,24.5746424,1169354,48921091.86,6.141600
2020-01-08,24.48138,24.4872089,23.5953872,23.7527675,1437404,59224149.84,7.549400
2020-01-09,23.9101478,24.656247,23.9101478,24.597958,1457773,61114408.79,7.656400
2020-01-10,24.6212736,25.0467833,24.4172621,24.889403,1521973,64533642.18,7.993600
2020-01-13,24.7436805,25.6821334,24.5571557,25.6180155,2050432,89505143.84,10.769100
2020-01-14,25.8161981,25.8570004,25.1283879,25.2915971,1520300,66387611.0,7.984800
2020-01-15,25.2682815,25.7345935,25.0934145,25.4781219,1069312,46598366.31,5.616100
2020-01-16,25.4489774,25.9735784,24.9302053,25.1925058,1332512,57720050.64,6.998500
2020-01-17,25.4489774,25.4548063,24.772825,24.9651787,1137300,48936629.0,5.973200
2020-01-20,25.1691902,25.5538976,24.5454979,25.2915971,1545330,66488924.44,8.116200
2020-01-21,25.1750191,26.521495,25.1750191,25.5946999,1950042,86378910.46,10.241800
2020-01-22,24.8077984,25.3440572,23.7119652,25.0409544,2333396,97906182.34,12.255200
2020-01-23,25.64716,26.3233124,24.6853915,25.1750191,2464461,107743037.06,12.943600
2020-02-03,22.6569343,22.6569343,22.6569343,22.6569343,345800,13441246.0,1.816200
2020-02-04,20.4302945,22.616132,20.4302945,21.5202988,2016828,74772763.4,10.592600
2020-02-05,21.5552722,22.616132,21.5552722,21.8875195,1637699,62176958.08,8.601400
2020-02-06,21.741797,22.5461852,21.6310479,22.3538315,1094577,41624135.09,5.748800
2020-02-07,22.382976,23.2048509,22.3596604,23.2048509,1462764,57129269.28,7.682600
2020-02-10,23.373889,23.373889,22.790999,22.9716949,1097136,43338052.24,5.762300
2020-02-11,23.1815353,23.2281665,22.441265,22.5636719,1021300,39681036.0,5.364000
2020-02-12,22.5986453,23.2339954,22.3538315,23.0707862,1029064,40281072.32,5.404700
2020-02-13,22.9716949,23.490467,22.5053829,23.0941018,1371333,54219028.18,7.202400
2020-02-14,23.024155,24.947692,22.7851701,24.597958,2562091,106268653.17,13.456400
2020-02-17,24.8777452,25.5597265,24.5513268,25.239137,2125317,91486359.08,11.162400
2020-02-18,25.06427,26.5739551,25.06427,26.3407991,2286830,101837618.04,12.010700
2020-02-19,25.938605,26.987807,25.880316,26.5681262,2647344,120552805.4,13.904100
2020-02-20,26.7080198,27.0344382,26.2358789,26.8595712,2006280,91809452.4,10.537200
2020-02-21,27.162674,28.5266366,26.9178602,27.628986,2760401,131727930.32,14.497900
2020-02-24,27.1743318,30.2403332,27.1743318,29.1853023,2658515,131730541.25,13.962800
2020-02-25,28.853055,31.242904,28.4158875,29.9780327,3583959,183902698.05,18.823300
2020-02-26,29.435945,30.2403332,27.4016589,27.4832635,3196075,156804410.83,16.786100
2020-02-27,27.8912865,29.72739,27.4074878,28.2177049,2615800,127491665.0,13.738400
2020-02-28,26.81294,28.1885604,26.5914418,26.638073,2367740,110824537.37,12.435600
2020-03-02,26.8245978,27.687275,26.696362,27.162674,1649343,77151219.39,8.662500
2020-03-03,27.687275,28.3575985,25.9677495,26.521495,2554480,119485359.2,13.416400
2020-03-04,26.521495,26.9644914,25.7695669,26.2242211,1286523,57945902.69,6.756900
2020-03-05,26.579784,26.8595712,26.1251298,26.4748638,1252700,56975368.73,6.579300
2020-03-06,26.0843275,26.6322441,25.8453426,26.3291413,887896,40001542.4,4.663300
2020-03-09,25.64716,25.938605,24.364802,24.48138,1541700,66274750.0,8.097200
2020-03-10,24.189935,25.3848595,23.840201,25.3848595,1224400,52083320.0,6.430700
2020-03-11,25.530582,26.1018142,24.772825,24.8719163,1182000,51640691.0,6.208000
2020-03-12,24.48138,24.6912204,23.9800946,24.4522355,796100,33302973.0,4.181200
2020-03-13,23.3214289,24.423091,22.7443678,24.1141593,1101000,44655690.0,5.782600
2020-03-16,24.423091,25.0584411,22.965866,23.1057596,1258200,52105934.0,6.608200
2020-03-17,23.5720716,23.6012161,22.4820673,23.2514821,872300,34509217.0,4.581400
2020-03-18,23.5196115,23.89849,22.6511054,22.7093944,1054900,42307347.0,5.540400
2020-03-19,22.5695008,23.4671514,22.5695008,23.4438358,1025800,40469571.0,5.387600
2020-03-20,23.6536762,23.6886496,22.8959192,23.4030335,901700,36014506.0,4.735800
2020-03-23,22.907577,23.0299839,22.0857021,22.1731356,807200,31297489.0,4.239500
2020-03-24,22.4645806,22.8376302,21.7534548,22.73271,824590,31730632.64,4.330800
2020-03-25,22.9716949,23.3039422,22.8609458,23.0066683,743800,29460323.66,3.906500
2020-03-26,22.73271,23.0066683,22.5170407,22.6627632,652889,25425598.22,3.429000
2020-03-27,22.9134059,23.2456532,22.499554,22.6511054,665701,26003791.95,3.496300
2020-03-30,22.091531,22.091531,21.0773024,21.4153786,809200,29776595.0,4.250000
2020-03-31,21.6660213,21.7825993,20.9607244,21.0015267,563246,20583996.12,2.958200
2020-04-01,20.9665533,21.6601924,20.7567129,21.158907,591190,21622157.2,3.105000
2020-04-02,20.98404,21.858375,20.576017,21.858375,636590,23396031.1,3.343400
2020-04-03,21.8234016,21.8234016,21.1938804,21.5436144,677246,24940064.9,3.557000
2020-04-07,21.6543635,22.2372535,21.6543635,22.1847934,792400,30010134.0,4.161800
2020-04-08,22.1556489,22.4762384,21.9341507,22.382976,641800,24508253.0,3.370800
2020-04-09,22.4878962,22.6452765,22.2722269,22.5286985,506900,19534371.0,2.662300
