date,open,high,low,close,volume,amount,turnover
2022-09-28,18.521315,21.778683,18.521315,21.55027,31900237,640037151.42,65.429400
2022-09-29,19.66338,20.65648,16.803252,16.902562,25053106,475053635.06,51.385500
2022-09-30,15.8896,16.495391,15.045465,15.09512,18746186,297614268.45,38.449600
2022-10-10,15.422843,15.740635,14.330433,14.558846,13793886,209762755.33,28.292100
2022-10-11,14.151675,15.045465,14.10202,14.767397,11651099,172979972.5,23.897200
2022-10-12,14.538984,15.184499,14.111951,15.09512,12860296,189597681.36,26.377300
2022-10-13,15.005741,15.273878,14.529053,14.558846,12620150,189014065.18,25.884700
2022-10-14,14.747535,15.055396,14.568777,15.055396,11573689,173506188.61,23.738400
2022-10-17,15.244085,16.266978,14.99581,15.750566,14327430,223585888.27,29.386500
2022-10-18,15.571808,15.671118,15.134844,15.402981,11002304,169891376.88,22.566400
2022-10-19,15.343395,15.343395,14.618432,14.628363,9558420,142904791.21,19.604900
2022-10-20,14.529053,15.005741,14.529053,14.777328,7669215,114133361.21,15.730100
2022-10-21,14.69788,14.836914,14.270847,14.340364,6979823,101506074.25,14.316100
2022-10-24,14.439674,14.727673,14.131813,14.310571,6333486,92454321.37,12.990400
2022-10-25,14.330433,14.439674,13.794159,13.863676,6179040,87450984.45,12.673600
2022-10-26,13.953055,14.290709,13.923262,14.20133,5474840,77999413.86,11.229200
2022-10-27,14.340364,14.409881,14.022572,14.082158,5147980,73575604.12,10.558800
2022-10-28,14.131813,14.529053,13.70478,13.843814,7732643,110161131.44,15.860100
2022-10-31,13.764366,14.340364,13.694849,14.340364,7217111,102825012.65,14.802800
2022-11-01,14.370157,14.39995,14.082158,14.370157,6402873,91848555.07,13.132700
2022-11-02,14.380088,14.658156,14.370157,14.469467,6820516,99659363.28,13.989300
2022-11-03,14.390019,14.946155,14.20133,14.876638,8830988,129374792.14,18.112900
2022-11-04,14.747535,15.025603,14.618432,14.906431,8407084,125860072.06,17.243500
2022-11-07,14.8965,15.29374,14.856776,15.085189,7507418,114069058.84,15.398200
2022-11-08,15.204361,15.283809,14.817052,15.035534,5856799,88250387.56,12.012700
2022-11-09,15.025603,15.502291,14.856776,15.144775,7193190,110202078.05,14.753700
2022-11-10,14.956086,15.234154,14.668087,14.717742,6212955,93225959.34,12.743200
2022-11-11,14.99581,15.234154,14.717742,14.737604,5899459,88869648.07,12.100200
2022-11-14,14.846845,14.946155,14.558846,14.668087,3960444,58713221.44,8.123100
2022-11-15,14.717742,15.184499,14.678018,15.164637,6589069,99849649.13,13.514600
2022-11-16,15.105051,15.313602,14.876638,14.985879,5400922,81954754.75,11.077600
2022-11-17,14.975948,14.99581,14.737604,14.985879,3850560,57508688.31,7.897700
2022-11-18,14.99581,15.174568,14.866707,14.956086,5109906,77321242.57,10.480700
2022-11-21,14.8965,15.273878,14.817052,15.154706,5128234,77820304.95,10.518300
2022-11-22,15.164637,15.839945,15.085189,15.402981,11946353,186170620.38,24.502700
2022-11-23,15.402981,15.442705,14.578708,14.807121,8948677,134016264.75,18.354300
2022-11-24,14.787259,14.886569,14.588639,14.658156,4944634,73274834.89,10.141800
2022-11-25,14.668087,14.777328,14.320502,14.330433,4314230,62946208.59,8.848800
2022-11-28,14.20133,14.489329,14.042434,14.370157,2452911,35362333.79,5.031100
2022-11-29,14.370157,14.588639,14.360226,14.519122,2972909,43365367.91,6.097600
2022-11-30,14.479398,14.558846,14.330433,14.390019,2786871,40480587.68,5.716100
2022-12-01,14.519122,14.628363,14.479398,14.519122,3256513,47718581.84,6.679300
2022-12-02,14.479398,14.727673,14.449605,14.658156,3050498,44950673.42,6.256800
2022-12-05,14.69788,14.787259,14.538984,14.717742,3463592,51020506.19,7.104100
2022-12-06,14.658156,15.283809,14.578708,15.065327,7216574,108718196.22,14.801700
2022-12-07,14.906431,15.045465,14.826983,14.8965,4266753,64037600.4,8.751400
2022-12-08,14.8965,15.641325,14.618432,15.164637,8835263,134683349.62,18.121700
2022-12-09,15.055396,15.303671,14.817052,14.856776,5726252,86411622.02,11.744900
2022-12-12,14.807121,15.015672,14.618432,14.985879,4684879,69858353.02,9.609000
2022-12-13,14.886569,14.985879,14.449605,14.49926,4534141,66854276.45,9.299800
2022-12-14,14.49926,16.247116,14.49926,15.353326,16228679,251527580.22,33.286100
2022-12-15,15.49236,15.820083,15.303671,15.472498,10543608,165192372.68,21.625600
2022-12-16,15.313602,15.532084,14.856776,14.956086,7512898,113843136.74,15.409400
2022-12-19,14.886569,15.085189,14.529053,14.727673,4765824,70800457.21,9.775000
2022-12-20,14.707811,15.045465,14.568777,14.956086,4745009,70687777.7,9.732300
2022-12-21,14.916362,14.936224,13.943124,14.131813,7686726,111058229.23,15.766000
2022-12-22,14.082158,14.141744,13.386988,13.40685,5395440,74572565.31,11.066400
2022-12-23,13.30754,13.466436,13.118851,13.317471,2997357,40198572.33,6.147800
2022-12-26,13.277747,13.674987,13.267816,13.625332,2603284,35502928.7,5.339500
2022-12-27,13.615401,13.734573,13.357195,13.585608,2369844,32219737.92,4.860700
2022-12-28,13.60547,13.645194,13.059265,13.128782,3210011,42832207.31,6.583900
2022-12-29,13.069196,13.20823,12.979817,12.979817,2183557,28793819.31,4.478600
2022-12-30,13.049334,13.158575,13.00961,13.069196,1768822,23290325.3,3.628000
2023-01-03,13.069196,13.446574,12.920231,13.40685,3279237,43791500.37,6.725900
2023-01-04,13.386988,13.535953,13.257885,13.436643,2531796,34182043.58,5.192900
2023-01-05,13.40685,13.565746,13.30754,13.545884,2577463,34991638.39,5.286500
2023-01-06,13.476367,13.595539,13.386988,13.516091,2257605,30700140.87,4.630500
2023-01-09,13.565746,13.814021,13.526022,13.774297,3154796,43542807.71,6.470700
2023-01-10,13.794159,13.80409,13.585608,13.615401,2168328,29790654.26,4.447400
2023-01-11,13.615401,13.684918,13.287678,13.40685,3016254,40957666.44,6.186500
2023-01-12,13.40685,13.446574,13.20823,13.287678,1866064,25001159.29,3.827400
2023-01-13,13.30754,13.40685,13.238023,13.377057,1724929,23176257.08,3.537900
2023-01-16,13.436643,13.575677,13.367126,13.555815,2080377,28328031.85,4.267000
2023-01-17,13.555815,13.9034,13.545884,13.9034,4273336,59132418.76,8.764900
2023-01-18,14.092089,14.687949,13.823952,14.439674,8027868,115972328.16,16.465700
2023-01-19,14.350295,14.975948,14.350295,14.628363,7596792,111559915.68,15.581500
2023-01-20,14.638294,14.767397,14.429743,14.449605,3729124,54670113.75,7.648700
2023-01-30,14.578708,14.678018,14.489329,14.548915,3212508,47137018.59,6.589100
2023-01-31,14.618432,14.648225,14.39995,14.638294,2839629,41501437.7,5.824300
2023-02-01,14.59857,15.224223,14.529053,15.124913,5921761,88495096.12,12.145900
2023-02-02,15.09512,15.19443,14.8965,14.975948,4501190,68137669.88,9.232200
2023-02-03,14.956086,15.065327,14.678018,14.906431,3556713,53184766.57,7.295000
2023-02-06,14.8965,14.985879,14.767397,14.876638,2044701,30580672.75,4.193800
2023-02-07,14.926293,14.966017,14.777328,14.966017,2504828,37517960.36,5.137600
