date,open,high,low,close,volume,amount,turnover
2021-10-11,21.60065512,26.935652,19.8976268,20.3755174,9870463,506544358.55,49.352300
2021-10-12,18.1598428,21.19227588,17.2475062,18.6160111,7424969,313610930.05,37.124800
2021-10-13,17.595063,19.984516,17.38218446,18.81585626,6231469,271359845.92,31.157300
2021-10-14,18.23369862,19.24161334,17.6819522,18.0729536,5000885,210234801.6,25.004400
2021-10-15,18.029509,18.32058782,17.1171724,17.1171724,4666247,187736165.23,23.331200
2021-10-18,16.77396006,17.82097492,16.51329246,17.79925262,4646850,183056926.16,23.234300
2021-10-19,17.4647292,17.6602299,16.95208292,16.9868386,3627542,144174042.85,18.137700
2021-10-20,16.7478933,16.88691602,16.39164758,16.4220588,3066387,116767199.38,15.331900
2021-10-21,16.1179466,16.60018166,16.1179466,16.3568919,2153278,81392684.13,10.766400
2021-10-22,16.2048358,16.62624842,15.97892388,15.99195726,2233466,83844570.03,11.167300
2021-10-25,15.79645656,16.23524702,15.42717746,15.91810144,2599433,94204054.57,12.997200
2021-10-26,15.67915614,16.1179466,15.67046722,15.86596792,1924727,70320658.5,9.623600
2021-10-27,15.7703898,15.79645656,14.4236072,14.47139626,3132977,107598538.87,15.664900
2021-10-28,14.30630678,14.54525208,13.5981598,13.60684872,2521835,81162556.75,12.609200
2021-10-29,13.56340412,13.88923862,13.56340412,13.5764375,1681899,53093687.54,8.409500
2021-11-01,13.6198821,13.78497158,13.25494746,13.66767116,1521770,47405041.75,7.608900
2021-11-02,13.66767116,14.02391688,13.39397018,13.57209304,2028377,63976348.68,10.141900
2021-11-03,13.58078196,14.15859514,13.52864844,13.99350566,2161631,68984322.73,10.808200
2021-11-04,13.88489416,14.15425068,13.78497158,14.02391688,1902027,61210816.24,9.510100
2021-11-05,13.86317186,14.30630678,13.86317186,14.0977727,1826004,59322357.2,9.130000
2021-11-08,14.08039486,14.45401842,13.902272,14.45401842,1991786,65348530.94,9.958900
2021-11-09,14.45401842,15.30987704,14.34975138,15.20561,3271995,112857470.97,16.360000
2021-11-10,15.0318316,15.0318316,14.64951912,14.88846442,2307104,78573335.09,11.535500
2021-11-11,14.89280888,15.9007236,14.89280888,15.422833,3783847,134382934.29,18.919200
2021-11-12,15.20126554,16.97814968,15.20126554,16.8347825,5442094,201570540.76,27.210500
2021-11-15,16.8565048,17.37784,16.3568919,17.37784,5180545,201212781.38,25.902700
2021-11-16,17.595063,17.61244084,15.65308938,15.73128966,4806909,181007528.2,24.034500
2021-11-17,15.61398924,16.40902542,15.61398924,16.2482804,2845345,105928733.04,14.226700
2021-11-18,16.36992528,16.56108152,15.91375698,16.1179466,2510457,93987073.78,12.552300
2021-11-19,15.91810144,16.67403748,15.91810144,16.41336988,2520820,94779328.68,12.604100
2021-11-22,16.508948,16.58280382,16.30041392,16.36123636,2215056,83698900.98,11.075300
2021-11-23,16.4220588,17.160617,16.20049134,16.8999494,3498564,134376565.79,17.492800
2021-11-24,16.8565048,17.160617,16.5523926,16.95642738,2806943,108515579.1,14.034700
2021-11-25,17.53858502,18.12074266,17.4212846,17.9426198,4935771,202007660.08,24.678900
2021-11-26,17.7253968,19.2894024,17.42997352,17.49948488,5577970,233658494.67,27.889900
2021-11-29,16.98249414,18.029509,16.80437128,17.13020578,3019114,119893262.16,15.095600
2021-11-30,17.14323916,17.5081738,16.41336988,16.56977044,3474152,134746496.34,17.370800
2021-12-01,16.72182654,17.14758362,16.55673706,16.94773846,2253764,87772498.6,11.268800
2021-12-02,16.8565048,17.10413902,16.17442458,16.19180242,2284663,86729735.71,11.423300
2021-12-03,16.30475838,16.39164758,15.87031238,15.88334576,1316000,48519662.22,6.580000
2021-12-06,16.06146862,16.06146862,15.06224282,15.07962066,2083999,73620035.41,10.420000
2021-12-07,15.07962066,15.37069948,14.78854184,14.9666647,1203922,41553186.3,6.019600
2021-12-08,14.94928686,15.18823216,14.94928686,15.11437634,811317,28211642.31,4.056600
2021-12-09,15.11437634,15.46193314,15.0101093,15.43586638,1411081,49865606.41,7.055400
2021-12-10,15.4445553,15.54882234,15.2707769,15.44021084,918292,32637338.4,4.591500
2021-12-13,15.44021084,15.50103328,15.01445376,15.25339906,950799,33320967.85,4.754000
2021-12-14,15.26208798,15.52710004,15.23167676,15.44021084,873162,30941992.07,4.365800
2021-12-15,15.44021084,15.89203468,15.3142215,15.71391182,1507099,54276073.51,7.535500
2021-12-16,15.640056,16.291725,15.58792248,16.2048358,2184700,80490318.92,10.923500
2021-12-17,16.26565824,16.6392818,15.7486675,15.77473426,2440074,90608310.54,12.200400
2021-12-20,15.50537774,15.7703898,15.27946582,15.2924992,1717400,61219750.0,8.587000
2021-12-21,15.31856596,15.4662776,15.18823216,15.31856596,989900,34827577.0,4.949500
2021-12-22,15.31856596,15.39676624,15.20561,15.3142215,969196,34129756.62,4.846000
2021-12-23,15.4445553,15.9441682,15.4445553,15.50103328,1701699,61181976.8,8.508500
2021-12-24,15.47496652,15.47496652,14.65386358,14.67124142,1843407,62822917.46,9.217000
2021-12-27,14.65820804,14.65820804,14.25417326,14.5104964,690518,23016675.58,3.452600
2021-12-28,14.61041898,14.71903048,14.54090762,14.61041898,521800,17544399.7,2.609000
2021-12-29,14.5973856,14.91453118,14.38885152,14.80591968,887811,30107352.89,4.439100
2021-12-30,14.7928863,14.91018672,14.70165264,14.82329752,573136,19564448.12,2.865700
2021-12-31,14.82329752,14.94928686,14.7928863,14.8580532,519380,17789182.6,2.596900
2022-01-04,14.8580532,15.1187208,14.77550846,15.05789836,834738,28768710.5,4.173700
2022-01-05,15.1187208,15.1187208,14.61041898,14.71468602,906272,30802085.26,4.531400
2022-01-06,14.76681954,15.4445553,14.6842748,15.0752762,1157202,40231072.86,5.786000
2022-01-07,15.00142038,15.7703898,14.89715334,15.75735642,2838811,101224618.36,14.194100
2022-01-10,15.75735642,17.0737278,15.4662776,16.8565048,5057178,191048790.74,25.285900
2022-01-11,16.80437128,17.99040886,16.51763692,17.0954501,6622161,263716724.91,33.110800
2022-01-12,16.67838194,17.9860644,16.64362626,17.70801896,4812454,193148347.4,24.062300
2022-01-13,17.57768516,17.7036745,17.0085609,17.160617,3086611,122175043.66,15.433100
2022-01-14,17.02593874,18.86798978,16.71313762,18.45526608,5582392,232741134.81,27.912000
2022-01-17,18.246732,18.3987881,17.54292948,18.19459848,3540394,145543435.23,17.702000
2022-01-18,18.03385346,18.15115388,16.8130602,16.8565048,3191212,126358516.21,15.956100
2022-01-19,17.15192808,17.4647292,16.81740466,17.15192808,2110196,83406051.24,10.551000
2022-01-20,17.11282794,17.2257839,16.0962243,16.12229106,2323413,87868557.1,11.617100
2022-01-21,16.19180242,16.75223776,15.640056,16.04409078,2335708,87011800.95,11.678500
2022-01-24,15.64440046,15.88769022,15.3359438,15.73563412,1427600,51382973.0,7.138000
2022-01-25,15.83121224,15.857279,14.8797755,14.9666647,1597143,55753223.27,7.985700
2022-01-26,14.96232024,15.24471014,14.771164,14.8580532,845900,29128804.0,4.229500
2022-01-27,14.89280888,14.95363132,14.10211716,14.13687284,1376300,45737519.0,6.881500
2022-01-28,14.22376204,14.62779682,14.1629396,14.27589556,938000,31041539.0,4.690000
2022-02-07,14.51484086,14.81026414,14.35409584,14.41057382,1069400,35763224.0,5.347000
2022-02-08,14.48442964,14.58869668,14.2063842,14.55828546,784400,26083678.0,3.922000
2022-02-09,14.55828546,14.78419738,14.44967396,14.76247508,943200,31788007.0,4.716000
2022-02-10,14.771164,14.84067536,14.56262992,14.61476344,1024500,34596248.0,5.122500
2022-02-11,14.5973856,14.5973856,13.73283806,13.81103834,1676300,54025518.12,8.381500
2022-02-14,13.74587144,14.18900636,13.63725994,13.9674389,822283,26561369.05,4.111400
2022-02-15,14.07170594,15.3359438,13.97178336,15.0318316,2412257,81634020.94,12.061300
2022-02-16,15.10568742,15.19257662,14.8146086,15.0318316,1418310,48847031.8,7.091600
2022-02-17,15.13609864,15.13609864,14.66689696,14.77985292,1221800,41778012.43,6.109000
2022-02-18,14.771164,15.13175418,14.62345236,14.99273146,961957,33002204.05,4.809800
2022-02-21,14.99273146,15.12306526,14.81895306,15.04920944,922917,31774913.86,4.614600
2022-02-22,14.9014978,15.09265404,14.50180748,14.80157522,1017016,34638056.18,5.085100
2022-02-23,14.91018672,15.39676624,14.91018672,15.2924992,1220303,42691169.74,6.101500
2022-02-24,15.2707769,16.02236848,14.98404254,15.23167676,2346335,84191289.8,11.731700
2022-02-25,15.4662776,15.61398924,15.0318316,15.0752762,1291550,45437479.0,6.457800
2022-02-28,15.0752762,15.20126554,14.5104964,14.84501982,957100,32581401.0,4.785500
2022-03-01,14.93190902,15.02314268,14.77985292,14.87108658,587800,20122412.0,2.939000
2022-03-02,14.80591968,14.9232201,14.7277194,14.81895306,442954,15098757.0,2.214800
2022-03-03,14.8580532,14.86674212,14.18031744,14.40622936,1400367,46715667.0,7.001800
2022-03-04,14.28892894,14.50180748,14.2063842,14.32802908,687171,22727017.0,3.435900
2022-03-07,14.25417326,14.34106246,13.82841618,14.0108835,745700,24067157.0,3.728500
2022-03-08,14.07170594,14.08473932,13.45913708,13.54168182,938750,29511284.0,4.693800
2022-03-09,13.54168182,13.65029332,12.6858232,13.30708098,840939,25639327.0,4.204700
2022-03-10,13.59381534,13.73718252,13.3592145,13.61553764,806909,25291728.0,4.034500
2022-03-11,13.54168182,13.7719382,13.2288807,13.72414914,476500,14776996.0,2.382500
2022-03-14,13.5112706,13.65463778,13.42003694,13.49823722,405052,12624064.0,2.025300
2022-03-15,13.50258168,13.50258168,12.69016766,12.69016766,687998,20711898.0,3.440000
2022-03-16,12.96386864,13.08551352,12.44253344,13.05075784,611501,18065133.0,3.057500
2022-03-17,13.21150286,13.5981598,13.21150286,13.39397018,880600,27296948.0,4.403000
2022-03-18,13.3809368,13.65463778,13.33314774,13.61553764,569300,17765297.6,2.846500
2022-03-21,13.62422656,14.18031744,13.62422656,14.04998364,1482513,47781065.65,7.412600
2022-03-22,14.43664058,14.4670518,13.75456036,13.80234942,908213,29291197.97,4.541100
2022-03-23,13.7719382,13.9891612,13.685049,13.80234942,554713,17661204.31,2.773600
