date,open,high,low,close,volume,amount,turnover
2020-08-03,14.29162265,17.14812775,14.29162265,17.14812775,127064,2389504.4,0.393500
2020-08-04,18.8674891,18.8674891,18.8674891,18.8674891,53070,1100671.8,0.164300
2020-08-05,20.75059915,20.75059915,20.75059915,20.75059915,121237,2765415.97,0.375400
2020-08-06,22.82474935,22.82474935,22.82474935,22.82474935,127966,3210666.94,0.396300
2020-08-07,25.108134,25.108134,22.015103,25.108134,20079846,532014104.65,62.180600
2020-08-10,24.57140215,24.64417935,22.6519035,23.00669235,14897105,384152662.05,46.131400
2020-08-11,22.4335719,22.71558355,21.62392555,21.83316,11414476,277123828.93,35.346800
2020-08-12,21.40559395,21.47837115,20.64143335,21.15087375,8967344,207546984.46,27.768900
2020-08-13,21.2327481,21.82406285,20.6505305,20.76879345,7421348,173304387.39,22.981400
2020-08-14,20.40490745,20.71421055,19.831787,20.07741005,6610834,146060223.58,20.471500
2020-08-17,19.96824425,20.36851885,19.9227585,20.24115875,4679412,103889756.12,14.490600
2020-08-18,20.2502559,20.25935305,19.87727275,20.1592844,4318849,95286883.52,13.374000
2020-08-19,20.1774787,21.0871937,20.09560435,20.40490745,7126431,161868226.09,22.068200
2020-08-20,20.1047015,20.11379865,19.38602665,19.6134554,5045442,108986916.14,15.624100
2020-08-21,19.69532975,19.80449555,19.44060955,19.60435825,3167435,68281400.05,9.808500
2020-08-24,19.5952611,19.6680383,19.11311215,19.3587352,2913444,61804266.6,9.022000
2020-08-25,19.3041523,19.73171835,19.29505515,19.58616395,3314158,71188057.97,10.262800
2020-08-26,19.5224839,20.15018725,19.5224839,19.64074685,4514764,98605083.87,13.980700
2020-08-27,19.58616395,20.01373,19.38602665,19.9227585,2715578,58981739.39,8.409200
2020-08-28,19.78630125,19.89546705,19.5588725,19.831787,2244557,48655949.02,6.950600
2020-08-31,19.9773414,20.15018725,19.84088415,20.0683129,2558275,56132734.6,7.922100
2020-09-01,20.01373,20.4321989,19.8681756,20.3958103,3251279,72182997.2,10.068100
2020-09-02,20.2320616,20.377616,19.69532975,19.8135927,3543553,77732188.43,10.973200
2020-09-03,19.69532975,19.89546705,19.3769295,19.4497067,2389366,51545618.18,7.399100
2020-09-04,19.2677637,19.7226212,19.1222093,19.7044269,1609307,34398155.02,4.983500
2020-09-07,19.53158105,19.7044269,19.2131808,19.3041523,1573704,33649170.03,4.873200
2020-09-08,19.31324945,19.649844,19.285958,19.4315124,1281361,27377639.99,3.967900
2020-09-09,19.4133181,19.7590098,19.1949865,19.5588725,2919594,62717341.52,9.041000
2020-09-10,19.58616395,20.09560435,19.5770668,19.82268985,3334027,72598458.78,10.324400
2020-09-11,19.9227585,19.9773414,19.104015,19.5588725,2745794,58786617.84,8.502800
2020-09-14,19.44060955,19.7772041,19.29505515,19.7226212,2129359,45878886.74,6.593900
2020-09-15,19.69532975,20.5049761,19.6316497,20.4867818,4726057,104720728.79,14.635000
2020-09-16,20.51407325,20.67782195,20.01373,20.5959476,4002363,89515063.94,12.394000
2020-09-17,20.49587895,20.7051134,20.13199295,20.2866445,3620823,81170070.4,11.212500
2020-09-18,20.2866445,20.56865615,20.1228958,20.31393595,2284886,51051910.13,7.075500
2020-09-21,20.31393595,20.31393595,19.87727275,19.98643855,1859901,40925929.71,5.759500
2020-09-22,19.84088415,20.67782195,19.40422095,20.51407325,3863946,85704958.48,11.965400
