symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,pattern_state,close,pct_change,yellow_line,above_yellow,float_mv_yi,concepts,sector_score,strict_signal,strategies
603125,,100.0,1,"vol_shrink(+0.49), amplitude(+0.45), j_low(+0.27)",,"vol_shrink(+0.49), amplitude(+0.45), j_low(+0.27)",0.9568,1.0,0.7208,1.0,1.0,0.7926,0.5036,0.3,1.0,1.0,0.0,0.5,0.7,0.4312,True,False,False,False,B1候B2,28.2,2.69,26.21,True,11416.4,,,True,B1
603324,,99.31,2,"vol_shrink(+0.62), j_low(+0.29), amplitude(+0.27)",,"vol_shrink(+0.62), j_low(+0.29), amplitude(+0.27)",1.0,1.0,0.6215,1.0,1.0,0.8999,0.3838,0.0,1.0,1.0,0.0,0.5,0.7,0.4293,True,False,False,False,B1候B2,42.99,1.7,37.84,True,6348.7,华为概念/宁德时代概念/光刻胶,,True,B1
300234,,97.05,3,"vol_shrink(+0.55), amplitude(+0.33), j_low(+0.29)",陶瓷行业,"vol_shrink(+0.55), amplitude(+0.33), j_low(+0.29)",1.0,1.0,0.6524,1.0,1.0,0.8371,0.5319,0.0,1.0,1.0,1.0,0.0,0.7,0.3887,True,False,False,False,B1候B2,9.85,2.71,9.31,True,33.9,专精特新/碳交易,23.6,True,B1
603004,,96.87,4,"amplitude(+0.44), vol_shrink(+0.38), j_low(+0.28)",,"amplitude(+0.44), vol_shrink(+0.38), j_low(+0.28)",0.9681,1.0,0.7155,0.7631,1.0,0.7118,0.7722,0.3,0.5448,1.0,0.0,0.5,0.0,0.4289,True,False,False,False,B1候B2,22.11,1.47,22.08,True,1301.8,染料,,True,B1
600400,,96.83,5,"vol_shrink(+0.51), amplitude(+0.37), pct_calm(+0.26)",服装鞋类,"vol_shrink(+0.51), amplitude(+0.37), pct_calm(+0.26)",0.8492,1.0,0.6774,1.0,1.0,0.8139,0.2888,0.3,1.0,1.0,0.0,0.5,0.7,0.4142,True,False,False,False,B1候B2,3.09,-0.32,2.9,True,7080.3,金融改革/民营银行,27.7,True,B1
688253,,96.41,6,"vol_shrink(+0.48), j_low(+0.29), amplitude(+0.28)",,"vol_shrink(+0.48), j_low(+0.29), amplitude(+0.28)",1.0,1.0,0.6249,1.0,0.6308,0.7867,0.4733,0.3,0.8255,1.0,0.0,0.5,0.7,0.4493,True,False,False,False,B1候B2,55.05,1.55,54.9,True,75.4,阿尔茨海默概念,,True,B1
601688,,96.03,7,"amplitude(+0.54), vol_shrink(+0.40), pct_calm(+0.26)",金融行业,"amplitude(+0.54), vol_shrink(+0.40), pct_calm(+0.26)",0.7284,1.0,0.7703,0.7425,1.0,0.728,0.6689,0.9,0.632,1.0,0.0,0.5,1.0,0.3933,True,True,False,False,B1候B2,20.39,1.8,20.16,True,148984.8,含GDR/含H股/信托重仓,39.0,True,B1+量能B1+周线金叉
002515,,95.89,8,"vol_shrink(+0.38), amplitude(+0.29), j_low(+0.29)",食品行业,"vol_shrink(+0.38), amplitude(+0.29), j_low(+0.29)",1.0,1.0,0.6343,1.0,1.0,0.7153,0.6733,0.6,1.0,1.0,0.0,0.5,0.7,0.4883,True,False,False,False,B1候B2,8.83,0.91,8.34,True,97.3,共同富裕示范区/人造肉/网红经济,27.9,True,B1
002803,,95.6,9,"amplitude(+0.42), vol_shrink(+0.39), pct_calm(+0.26)",,"amplitude(+0.42), vol_shrink(+0.39), pct_calm(+0.26)",0.9272,1.0,0.7051,1.0,1.0,0.7199,0.4134,0.0,1.0,1.0,0.0,0.5,0.7,0.4136,True,False,False,False,B1候B2,23.42,1.56,22.53,True,6761.0,专精特新/白酒概念/宠物经济,,True,B1
300201,,95.39,10,"vol_shrink(+0.44), amplitude(+0.28), j_low(+0.28)",机械行业,"vol_shrink(+0.44), amplitude(+0.28), j_low(+0.28)",0.9702,1.0,0.6248,1.0,0.6663,0.761,0.191,0.3,1.0,1.0,0.0,0.0,0.7,0.4548,True,False,False,False,B1候B2,17.0,1.8,16.76,True,170.6,国防军工/军工航天/智能机器,21.4,True,B1
601901,,95.17,11,"amplitude(+0.74), vol_shrink(+0.39), pct_calm(+0.26)",金融行业,"amplitude(+0.74), vol_shrink(+0.39), pct_calm(+0.26)",0.644,1.0,0.8873,0.541,1.0,0.7245,0.4231,0.9,0.6373,0.0,1.0,0.5,0.0,0.2609,True,False,False,False,B1候B2,7.22,1.69,7.09,True,59435.8,长株潭/高校背景,39.0,True,B1
603010,,94.87,12,"vol_shrink(+0.47), amplitude(+0.38), pct_calm(+0.26)",化工行业,"vol_shrink(+0.47), amplitude(+0.38), pct_calm(+0.26)",0.8578,1.0,0.6825,1.0,1.0,0.7823,0.3516,0.6,1.0,1.0,0.0,0.5,0.7,0.3857,True,False,False,False,B1候B2,15.62,1.89,14.72,True,8915.6,,21.1,True,B1
300440,,94.61,13,"vol_shrink(+0.41), amplitude(+0.39), pct_calm(+0.26)",电子信息,"vol_shrink(+0.41), amplitude(+0.39), pct_calm(+0.26)",0.9158,1.0,0.6912,1.0,1.0,0.7336,0.3182,0.0,1.0,1.0,0.0,0.5,0.7,0.3966,True,False,False,False,B1候B2,19.78,-1.49,19.04,True,8660.1,专精特新,26.6,True,B1
002643,,94.52,14,"amplitude(+0.55), j_low(+0.29), pct_calm(+0.26)",化工行业,"amplitude(+0.55), j_low(+0.29), pct_calm(+0.26)",1.0,1.0,0.7778,1.0,1.0,0.6064,0.6305,0.6,1.0,0.0,0.0,0.5,0.0,0.3828,True,False,False,False,B1候B2,19.14,1.27,17.82,True,174.0,黄河三角/仿制药一致性评价/肝炎概念,21.1,True,B1
002297,,94.46,15,"vol_shrink(+0.59), pct_calm(+0.26), j_low(+0.25)",其它行业,"vol_shrink(+0.59), pct_calm(+0.26), j_low(+0.25)",0.9149,1.0,0.5165,1.0,1.0,0.8738,0.5249,0.0,1.0,1.0,0.0,0.0,0.7,0.4742,True,False,False,False,B1候B2,24.53,1.07,24.25,True,140.6,大飞机/国防军工/军民融合,20.3,True,B1
