symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,pattern_state,close,pct_change,yellow_line,above_yellow,float_mv_yi,concepts,sector_score,strict_signal,strategies
002888,,100.0,1,"vol_shrink(+0.65), amplitude(+0.58), j_low(+0.27)",,"vol_shrink(+0.65), amplitude(+0.58), j_low(+0.27)",0.8453,1.0,0.8333,0.7688,1.0,0.9254,0.3121,0.6,0.7033,1.0,0.0,0.5,0.7,0.4153,True,False,False,False,B1候B2,20.8,-1.89,20.59,True,15.6,无线耳机/物联网/智能家居,,True,B1
001259,,96.43,2,"vol_shrink(+0.65), amplitude(+0.47), j_low(+0.34)",,"vol_shrink(+0.65), amplitude(+0.47), j_low(+0.34)",1.0,1.0,0.775,1.0,0.9744,0.9587,0.3145,0.3,1.0,1.0,0.0,0.0,0.7,0.3465,True,False,False,False,B1候B2,63.5,-1.24,60.04,True,30.2,家用电器,,True,B1
003018,,94.43,3,"vol_shrink(+0.60), amplitude(+0.30), j_low(+0.30)",,"vol_shrink(+0.60), amplitude(+0.30), j_low(+0.30)",0.9044,1.0,0.68,1.0,1.0,0.8407,0.2761,0.3,1.0,1.0,0.0,0.5,0.7,0.4602,True,False,False,False,B1候B2,66.28,-0.27,57.39,True,15734.0,,,True,B1
001266,,94.41,4,"vol_shrink(+0.65), amplitude(+0.34), j_low(+0.30)",,"vol_shrink(+0.65), amplitude(+0.34), j_low(+0.30)",0.9116,1.0,0.7025,1.0,0.9702,0.8895,0.1941,0.0,1.0,1.0,0.0,0.5,0.7,0.3984,True,False,False,False,B1候B2,47.05,0.47,45.53,True,27.4,专精特新/换电概念/农机,,True,B1
300939,,94.13,5,"vol_shrink(+0.65), amplitude(+0.36), j_low(+0.34)",,"vol_shrink(+0.65), amplitude(+0.36), j_low(+0.34)",1.0,1.0,0.7115,1.0,1.0,0.8898,0.3266,0.0,1.0,1.0,0.0,0.5,0.7,0.3577,True,False,False,False,B1候B2,61.19,-0.81,58.2,True,73.4,物联网/融资融券/汽车电子,,True,B1
600345,,93.97,6,"vol_shrink(+0.58), amplitude(+0.35), j_low(+0.34)",电子信息,"vol_shrink(+0.58), amplitude(+0.35), j_low(+0.34)",1.0,1.0,0.7056,1.0,1.0,0.8274,0.583,0.0,1.0,1.0,0.0,0.5,0.7,0.4055,True,False,False,False,B1候B2,58.88,0.02,57.1,True,12456.6,5G概念/武汉规划/宽带提速,32.2,True,B1
002254,,92.52,7,"vol_shrink(+0.50), amplitude(+0.35), j_low(+0.32)",化纤行业,"vol_shrink(+0.50), amplitude(+0.35), j_low(+0.32)",0.9476,1.0,0.704,1.0,1.0,0.7637,0.2392,0.6,1.0,1.0,0.0,0.5,0.7,0.4358,True,False,False,False,B1候B2,16.68,-1.24,15.59,True,141.9,氢能源/国防军工/军民融合,37.1,True,B1
301176,,92.47,8,"vol_shrink(+0.54), j_low(+0.34), amplitude(+0.26)",,"vol_shrink(+0.54), j_low(+0.34), amplitude(+0.26)",1.0,1.0,0.6568,1.0,1.0,0.8005,0.313,0.3,1.0,1.0,0.0,0.5,0.7,0.4429,True,False,False,False,B1候B2,59.87,-1.53,53.11,True,9821.9,,,True,B1
688313,,91.61,9,"vol_shrink(+0.55), j_low(+0.34), pct_calm(+0.23)",,"vol_shrink(+0.55), j_low(+0.34), pct_calm(+0.23)",1.0,1.0,0.6105,1.0,1.0,0.8061,0.3,0.0,1.0,1.0,0.0,0.5,0.7,0.4675,True,False,False,False,B1候B2,158.57,-1.45,157.08,True,71671.5,F5G概念,,True,B1
603156,,91.54,10,"vol_shrink(+0.50), amplitude(+0.38), j_low(+0.30)",,"vol_shrink(+0.50), amplitude(+0.38), j_low(+0.30)",0.9193,1.0,0.7209,1.0,1.0,0.7684,0.3479,0.0,1.0,1.0,0.0,1.0,0.7,0.3954,True,False,False,False,B1候B2,44.57,-1.28,41.68,True,56170.6,超级品牌/创投/高股息精选,,True,B1
