symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
600706,,0.5228,1.0,0.8065,0.0,0.0,0.4655,0.0854,0.3,0.0,0.0,0.0,0.0,0.0,0.4852,False,False,False,False,7.49,-1.19,8.81,False,1902.7,酒店旅游,陕甘宁,27.5
600707,,0.0,0.0,0.3505,1.0,1.0,0.3629,0.8567,0.3,1.0,0.0,1.0,0.5,0.7,0.3133,False,False,True,False,11.51,9.93,9.55,True,41294.1,电子器件,准ST股/陕甘宁,74.0
600708,,0.178,1.0,0.7042,0.0,0.0,0.6894,0.195,0.3,0.0,0.0,0.0,0.0,1.0,0.5544,False,False,False,False,2.94,0.34,3.36,False,6542.3,交通运输,国企改革/上海自贸/业绩预升,28.9
600710,,0.0,1.0,0.8933,0.1442,0.0,0.6582,0.1984,0.6,0.1566,0.0,0.0,0.0,0.0,0.4272,False,False,False,False,11.09,-1.42,11.83,False,14491.9,机械行业,光伏/光伏概念/ST板块,29.0
600711,,0.0,1.0,0.7773,0.0,0.0604,0.3071,0.2833,0.6,0.7675,0.0,0.0,0.5,0.0,0.3247,False,False,False,False,13.25,-1.63,13.14,True,409.5,有色金属,海峡西岸/黄金概念/融资融券,62.0
600712,,0.5924,1.0,0.7587,0.0642,0.0,0.5501,0.2092,0.3,0.0,0.0,0.0,0.0,0.0,0.3343,False,False,False,False,5.24,-0.19,5.94,False,2822.5,商业百货,海上丝路/内贸规划/业绩预降,26.7
600713,,0.0,1.0,0.8682,0.1565,0.0,0.9236,0.1698,0.0,0.3364,0.0,0.0,0.5,0.0,0.3365,False,False,False,False,5.03,-0.59,5.2,False,6487.7,商业百货,准ST股/信托重仓/参股金融,26.7
600714,,0.8246,1.0,0.6258,1.0,1.0,0.7023,0.4722,0.0,1.0,1.0,0.0,0.0,1.0,0.3297,True,False,False,False,27.78,-1.94,25.25,True,8005.5,有色金属,稀缺资源/业绩预升,62.0
600715,,0.4779,1.0,0.845,0.0,0.0,0.8961,0.2952,0.0,0.0,0.0,0.0,0.0,0.0,0.5206,False,False,False,False,1.71,-0.58,1.94,False,4894.7,汽车制造,振兴沈阳,25.0
600716,,0.0,1.0,0.673,0.0,0.0,0.5362,0.2765,0.0,0.1633,0.0,0.0,0.5,0.0,0.3842,False,False,False,False,3.75,2.18,3.98,False,3510.2,房地产,参股金融,29.6
600717,,0.9081,1.0,1.0,0.3457,0.142,1.0,0.2032,0.6,0.2538,0.0,1.0,0.5,0.0,0.2286,False,False,False,False,4.31,0.0,4.51,False,12473.1,交通运输,雄安新区/京津冀/海上丝路,28.9
600718,,0.0,1.0,0.8232,0.0,0.0,0.6115,0.1492,0.0,0.0,0.0,0.0,0.0,0.0,0.4536,False,False,False,False,7.96,0.51,8.71,False,9523.7,电子信息,物联网/汽车电子/国产软件,26.5
600719,,0.0183,1.0,0.7101,1.0,0.759,0.8704,0.3256,0.6,1.0,1.0,1.0,0.5,0.7,0.2665,False,False,False,False,8.71,-0.34,8.45,True,3524.1,供水供气,整体上市/振兴沈阳,21.9
600720,,0.6097,1.0,0.7395,0.0,0.0,0.0,0.0856,0.0,0.0,0.0,0.0,0.0,0.0,0.3671,False,False,False,False,5.47,-2.84,6.32,False,5519.5,水泥行业,低碳经济/融资融券/业绩预升,29.8
600721,,0.0,0.8473,0.7563,0.0,0.0,0.2183,0.152,0.3,0.0,0.0,0.0,1.0,0.0,0.3337,False,False,False,False,7.36,-3.92,8.18,False,2830.3,煤炭行业,CXO概念/CRO概念/ST板块,44.3
600722,,0.4644,1.0,0.6378,0.0,0.0,0.3646,0.2006,0.0,0.0,0.0,0.0,0.0,0.0,0.5122,False,False,False,False,9.31,-2.72,11.34,False,6333.8,化工行业,雄安新区/京津冀,59.2
