symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
600865,,0.8683,1.0,0.6663,0.0,0.0,0.5786,0.2072,0.3,0.0,0.0,1.0,0.0,0.0,0.435,False,False,False,9.36,1.85,11.11,False,3521.6,商业百货,金融参股/参股金融,16.6
600866,,0.3212,1.0,0.7701,0.0,0.0,0.6715,0.1601,0.3,0.0,0.0,0.0,0.0,0.0,0.4522,False,False,False,4.74,2.16,5.77,False,5952.3,食品行业,ST板块/金融参股,28.6
600867,,0.7861,1.0,0.8103,0.0207,0.0,0.8016,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.5259,False,False,False,7.55,2.3,8.58,False,14787.0,生物制药,业绩预升/分拆上市,29.4
600868,,1.0,1.0,0.7792,0.1288,0.0,0.7619,0.2779,0.9,0.0,0.0,1.0,0.0,0.0,0.4374,False,False,False,3.03,0.33,3.5,False,5751.4,电力行业,融资融券/涉矿概念,42.3
600869,,0.0,0.0,0.2203,1.0,1.0,0.0,0.8161,0.3,1.0,0.0,0.0,1.0,0.7,0.3661,False,False,False,32.43,9.93,21.19,True,71973.6,电力行业,军民融合/锂电池/电商概念,42.3
600871,,0.4938,1.0,0.6697,0.0,0.0,0.3852,0.2034,0.0,0.0,0.0,1.0,0.0,0.0,0.4194,False,False,False,2.24,0.9,2.53,False,30345.3,石油行业,碳中和/含H股/油气改革,22.0
600872,,0.3761,1.0,0.8516,0.3391,0.0,0.834,0.1798,0.0,0.1199,0.0,0.0,0.0,0.7,0.4363,False,False,False,17.82,1.71,19.09,False,13739.0,食品行业,锂电池/金融改革/氢燃料,28.6
600873,,0.4318,1.0,0.7556,0.0,0.0,0.4017,0.1845,0.3,0.0,0.0,0.0,0.0,0.0,0.3439,False,False,False,8.95,2.52,9.87,False,25098.0,食品行业,参股金融,28.6
600874,,0.0,1.0,0.8282,0.2327,0.0,0.2884,0.3408,0.0,0.4073,0.0,0.0,0.0,0.0,0.3397,False,False,False,5.84,0.34,5.97,False,7185.6,环保行业,含H股/污水处理/节能环保,21.5
600875,,0.6116,1.0,0.7219,0.2229,0.0,0.5831,0.3586,0.0,0.0,0.0,1.0,0.0,0.0,0.4379,False,False,False,30.3,2.75,35.06,False,68580.0,发电设备,成渝特区/低碳经济/含H股,34.0
600876,,0.5466,1.0,0.7226,0.0,0.0,0.6929,0.263,0.6,0.0,0.0,0.0,0.0,0.0,0.4125,False,False,False,8.31,-1.19,9.26,False,3288.1,玻璃行业,光伏/含H股/参股金融,43.0
600877,,0.4369,1.0,0.802,0.0,0.0,0.6545,0.2843,0.0,0.0,0.0,1.0,0.0,0.0,0.4745,False,False,False,13.36,1.75,15.81,False,15819.0,摩托车,国防军工/军民融合/成渝特区,
