symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,sig_b1,sig_volume_b1,sig_zhixing,close,pct_change,float_mv_yi,strict_signal,sector_score
000026,,100.0,1,"trend_gap(+0.33), yangyin(+0.20), j_low(+0.16)",商业百货,"trend_gap(+0.33), yangyin(+0.20), j_low(+0.16)",0.7007,1.0,0.6725,1.0,1.0,0.8707,0.5211,0.0,1.0,1.0,0.0,True,False,False,21.26,-2.39,77.5,True,
000060,,86.82,2,"j_low(+0.32), trend_gap(+0.30), dif(+0.08)",有色金属,"j_low(+0.32), trend_gap(+0.30), dif(+0.08)",1.0,1.0,0.7207,0.9257,0.7412,0.6553,0.3764,0.3,0.4743,0.0,0.0,True,False,False,6.95,-2.93,308.7,True,
000027,,84.12,3,"trend_gap(+0.26), j_low(+0.25), yangyin(+0.23)",电力行业,"trend_gap(+0.26), j_low(+0.25), yangyin(+0.23)",0.87,1.0,0.7616,0.8577,0.8587,0.6372,0.5478,0.0,0.4641,0.0,0.0,True,False,False,7.16,-1.51,340.6,True,
000042,,79.51,4,"trend_gap(+0.27), j_low(+0.22), vol_shrink(+0.08)",房地产,"trend_gap(+0.27), j_low(+0.22), vol_shrink(+0.08)",0.8221,1.0,0.8089,0.8822,0.5973,0.715,0.3142,0.3,0.4337,0.0,0.0,True,False,False,9.21,-2.23,61.2,True,23.0
000021,,78.62,5,"trend_gap(+0.33), yangyin(+0.24), ql_pos(+0.15)",电子信息,"trend_gap(+0.33), yangyin(+0.24), ql_pos(+0.15)",0.2166,1.0,0.4601,1.0,1.0,0.4864,0.5624,0.3,1.0,0.0,1.0,False,False,False,38.56,2.72,607.0,False,37.7
000029,,70.83,6,"trend_gap(+0.32), j_low(-0.22), ql_pos(+0.15)",房地产,"trend_gap(+0.32), j_low(-0.22), ql_pos(+0.15)",0.0,0.0,0.5572,0.9709,1.0,0.8195,0.3734,0.6,1.0,0.0,1.0,False,False,False,26.99,9.98,240.6,False,23.0
000037,,69.44,7,"trend_gap(+0.24), dif(+0.13), ql_pos(+0.13)",电力行业,"trend_gap(+0.24), dif(+0.13), ql_pos(+0.13)",0.3088,1.0,0.6839,0.8073,1.0,0.4693,0.2463,0.6,0.9338,0.0,0.0,False,False,False,11.05,-2.99,37.4,False,
000062,,67.03,8,"trend_gap(+0.30), j_low(-0.18), bowl(+0.15)",商业百货,"trend_gap(+0.30), j_low(-0.18), bowl(+0.15)",0.0794,1.0,0.6026,0.9294,0.3005,0.7711,0.2751,0.3,0.7556,1.0,0.0,False,False,False,31.45,-2.36,328.6,False,
000070,,60.94,9,"j_low(-0.22), trend_gap(+0.22), bowl(+0.15)",电子信息,"j_low(-0.22), trend_gap(+0.22), bowl(+0.15)",0.0,0.3735,0.4334,0.7562,0.2749,0.5808,0.3904,0.6,0.8556,1.0,0.0,False,False,False,18.21,-6.76,156.0,False,37.7
000036,,57.95,10,"vol_shrink(+0.15), surge(+0.11), yangyin(+0.06)",房地产,"vol_shrink(+0.15), surge(+0.11), yangyin(+0.06)",0.346,1.0,0.8174,0.3287,0.0,0.8621,0.3506,0.6,0.201,0.0,0.0,False,False,False,5.0,-2.15,70.2,False,23.0
000066,,57.53,11,"trend_gap(+0.22), j_low(+0.13), vol_shrink(+0.07)",电子信息,"trend_gap(+0.22), j_low(+0.13), vol_shrink(+0.07)",0.6451,1.0,0.5144,0.7681,0.0,0.6966,0.2138,0.3,0.0,0.0,1.0,False,False,False,16.14,-0.37,520.6,False,37.7
000012,,55.84,12,"yangyin(+0.29), j_low(-0.22), surge(+0.11)",玻璃行业,"yangyin(+0.29), j_low(-0.22), surge(+0.11)",0.0,0.8561,0.6818,0.2835,0.8388,0.3846,0.6516,0.6,0.4364,0.0,0.0,False,False,False,4.23,-3.86,82.9,False,
000034,,53.69,13,"surge(+0.23), j_low(+0.18), trend_gap(-0.13)",煤炭行业,"surge(+0.23), j_low(+0.18), trend_gap(-0.13)",0.7392,1.0,0.6503,0.0,0.0,0.657,0.2341,0.9,0.0,0.0,0.0,False,False,False,23.17,-1.19,196.7,False,
000006,,52.51,14,"yangyin(-0.12), surge(+0.11), vol_shrink(+0.09)",房地产,"yangyin(-0.12), surge(+0.11), vol_shrink(+0.09)",0.5404,1.0,0.6985,0.4036,0.0,0.7436,0.1338,0.6,0.0,0.0,1.0,False,False,False,8.0,0.5,108.0,False,23.0
000049,,50.6,15,"j_low(+0.17), vol_shrink(+0.14), yangyin(-0.10)",电器行业,"j_low(+0.17), vol_shrink(+0.14), yangyin(-0.10)",0.7289,1.0,0.8264,0.2425,0.0,0.8555,0.151,0.3,0.0,0.0,0.0,False,False,False,23.07,-1.49,88.7,False,
000063,,50.14,16,"vol_shrink(-0.25), j_low(-0.22), dif(+0.13)",电子信息,"vol_shrink(-0.25), j_low(-0.22), dif(+0.13)",0.0,1.0,0.552,0.564,1.0,0.0,0.3995,0.6,0.8835,0.0,0.0,False,False,False,38.42,-1.84,1547.4,False,37.7
000061,,49.95,17,"j_low(+0.24), trend_gap(-0.13), yangyin(-0.11)",农林牧渔,"j_low(+0.24), trend_gap(-0.13), yangyin(-0.11)",0.8438,1.0,0.8553,0.0,0.0,0.6852,0.1359,0.6,0.0,0.0,0.0,False,False,False,5.96,-0.5,106.9,False,
000016,,47.07,18,"j_low(+0.32), surge(-0.13), trend_gap(-0.08)",家电行业,"j_low(+0.32), surge(-0.13), trend_gap(-0.08)",1.0,0.7424,0.7403,0.1081,0.0,0.5705,0.3359,0.0,0.0,0.0,0.0,False,False,False,2.94,-4.55,46.9,False,
000069,,46.79,19,"trend_gap(-0.13), surge(+0.11), j_low(+0.08)",酒店旅游,"trend_gap(-0.13), surge(+0.11), j_low(+0.08)",0.5558,1.0,0.8198,0.0,0.0,0.6148,0.2943,0.6,0.0,0.0,0.0,False,False,False,1.86,0.54,128.3,False,
000055,,46.55,20,"vol_shrink(-0.16), yangyin(-0.13), dif(+0.11)",建筑建材,"vol_shrink(-0.16), yangyin(-0.13), dif(+0.11)",0.5071,1.0,0.7117,0.4419,0.8614,0.1849,0.1158,0.3,0.4586,0.0,1.0,False,False,False,3.67,-0.81,24.8,False,
000002,,45.39,21,"j_low(+0.17), trend_gap(-0.13), ql_pos(-0.06)",房地产,"j_low(+0.17), trend_gap(-0.13), ql_pos(-0.06)",0.7247,1.0,0.8504,0.0,0.0,0.6045,0.2293,0.3,0.0,0.0,1.0,False,False,False,3.15,0.96,306.1,False,23.0
000008,,45.35,22,"vol_shrink(+0.11), j_low(+0.08), trend_gap(-0.06)",综合行业,"vol_shrink(+0.11), j_low(+0.08), trend_gap(-0.06)",0.5542,1.0,0.8688,0.147,0.0,0.7924,0.2064,0.3,0.0014,0.0,0.0,False,False,False,2.5,-1.57,67.9,False,
000050,,44.64,23,"yangyin(+0.16), j_low(-0.14), vol_shrink(-0.14)",电子器件,"yangyin(+0.16), j_low(-0.14), vol_shrink(-0.14)",0.1574,0.859,0.7115,0.2633,0.8963,0.2447,0.471,0.3,0.3468,0.0,0.0,False,False,False,8.0,-3.85,194.9,False,
