symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,sig_b1,sig_volume_b1,sig_zhixing,close,pct_change,float_mv_yi,strict_signal,sector_score
000056,,44.12,24,"j_low(-0.22), vol_shrink(+0.19), dif(+0.13)",房地产,"j_low(-0.22), vol_shrink(+0.19), dif(+0.13)",0.0,0.6758,0.8168,0.0,1.0,1.0,0.2908,0.3,0.3721,0.0,0.0,False,False,False,1.73,-4.95,15.6,False,23.0
000032,,44.01,25,"surge(+0.11), trend_gap(-0.11), yangyin(+0.09)",电子信息,"surge(+0.11), trend_gap(-0.11), yangyin(+0.09)",0.3665,1.0,0.4895,0.0545,0.0,0.5609,0.3869,0.6,0.0,0.0,1.0,False,False,False,15.64,0.64,178.0,False,37.7
000065,,43.02,26,"j_low(+0.15), surge(-0.13), vol_shrink(+0.07)",建筑建材,"j_low(+0.15), surge(-0.13), vol_shrink(+0.07)",0.6785,0.6646,0.7864,0.1911,0.0,0.7011,0.328,0.0,0.0,0.0,0.0,False,False,False,11.56,-5.01,112.7,False,
000031,,42.73,27,"j_low(+0.20), trend_gap(-0.13), ql_pos(-0.06)",房地产,"j_low(+0.20), trend_gap(-0.13), ql_pos(-0.06)",0.7781,1.0,0.7354,0.0,0.0,0.5083,0.2696,0.3,0.0,0.0,0.0,False,False,False,2.49,-1.19,106.7,False,23.0
000058,,42.21,28,"trend_gap(-0.13), surge(+0.11), j_low(+0.06)",电子器件,"trend_gap(-0.13), surge(+0.11), j_low(+0.06)",0.5267,1.0,0.7877,0.0,0.0,0.5697,0.2297,0.6,0.0,0.0,0.0,False,False,False,6.87,-0.58,67.7,False,
000045,,42.02,29,"surge(-0.13), yangyin(+0.12), ql_pos(-0.06)",纺织行业,"surge(-0.13), yangyin(+0.12), ql_pos(-0.06)",0.4873,1.0,0.7468,0.1557,0.0,0.6561,0.4147,0.0,0.0,0.0,0.0,False,False,False,10.78,-2.53,49.3,False,
000020,,41.91,30,"vol_shrink(+0.14), trend_gap(-0.13), ql_pos(-0.06)",电子器件,"vol_shrink(+0.14), trend_gap(-0.13), ql_pos(-0.06)",0.4966,1.0,0.7998,0.0,0.0,0.8412,0.2315,0.3,0.0,0.0,0.0,False,False,False,11.77,-1.83,21.3,False,
000010,,40.05,31,"surge(+0.23), j_low(-0.22), trend_gap(-0.13)",建筑建材,"surge(+0.23), j_low(-0.22), trend_gap(-0.13)",0.0,0.677,0.7805,0.0,0.0,0.6769,0.3889,0.9,0.0,0.0,0.0,False,False,False,2.31,-4.94,20.1,False,
000035,,39.94,32,"j_low(+0.28), yangyin(-0.14), trend_gap(-0.13)",电子信息,"j_low(+0.28), yangyin(-0.14), trend_gap(-0.13)",0.9204,1.0,0.8297,0.0,0.0,0.7124,0.1064,0.0,0.0,0.0,0.0,False,False,False,5.0,-1.77,115.7,False,37.7
000039,,39.34,33,"j_low(+0.11), yangyin(-0.10), ql_pos(-0.06)",机械行业,"j_low(+0.11), yangyin(-0.10), ql_pos(-0.06)",0.617,1.0,0.6028,0.1607,0.0,0.6684,0.1491,0.3,0.0,0.0,0.0,False,False,False,9.25,-1.6,212.9,False,
000019,,37.43,34,"vol_shrink(+0.17), trend_gap(-0.13), surge(-0.13)",食品行业,"vol_shrink(+0.17), trend_gap(-0.13), surge(-0.13)",0.6116,1.0,0.883,0.0,0.0,0.9122,0.1196,0.0,0.0,0.0,0.0,False,False,False,6.3,0.48,26.2,False,
000009,,35.4,35,"trend_gap(-0.13), yangyin(-0.10), vol_shrink(+0.10)",房地产,"trend_gap(-0.13), yangyin(-0.10), vol_shrink(+0.10)",0.3225,1.0,0.8483,0.0,0.0,0.7527,0.1562,0.3,0.0,0.0,1.0,False,False,False,7.01,-0.28,180.6,False,23.0
000048,,34.88,36,"yangyin(+0.28), vol_shrink(-0.25), j_low(-0.22)",农林牧渔,"yangyin(+0.28), vol_shrink(-0.25), j_low(-0.22)",0.0,0.0,0.6669,0.0,1.0,0.0,0.61,0.3,1.0,0.0,0.0,False,False,False,17.83,9.99,94.4,False,
000059,,34.72,37,"j_low(+0.18), yangyin(-0.15), trend_gap(-0.13)",石油行业,"j_low(+0.18), yangyin(-0.15), trend_gap(-0.13)",0.7465,1.0,0.8122,0.0,0.0,0.7069,0.0949,0.0,0.0,0.0,0.0,False,False,False,4.24,-0.47,67.8,False,
000028,,32.59,38,"surge(-0.13), yangyin(-0.13), vol_shrink(+0.09)",商业百货,"surge(-0.13), yangyin(-0.13), vol_shrink(+0.09)",0.3615,1.0,0.8052,0.1507,0.0,0.7337,0.1206,0.0,0.078,0.0,1.0,False,False,False,22.66,1.89,108.3,False,
000001,,30.54,39,"j_low(-0.22), vol_shrink(-0.20), surge(-0.13)",金融行业,"j_low(-0.22), vol_shrink(-0.20), surge(-0.13)",0.0,1.0,0.8323,0.432,0.6549,0.1124,0.2227,0.0,0.7506,0.0,0.0,False,False,False,11.32,1.71,2196.8,False,
000068,,30.14,40,"vol_shrink(-0.25), j_low(-0.22), ql_pos(+0.15)",电子器件,"vol_shrink(-0.25), j_low(-0.22), ql_pos(+0.15)",0.0,0.4006,0.4899,0.4597,1.0,0.0,0.2017,0.3,0.9907,0.0,0.0,False,False,False,3.54,-6.6,35.6,False,
000014,,29.37,41,"yangyin(-0.14), trend_gap(-0.13), surge(-0.13)",房地产,"yangyin(-0.14), trend_gap(-0.13), surge(-0.13)",0.5001,1.0,0.852,0.0,0.0,0.7113,0.1055,0.0,0.0,0.0,0.0,False,False,False,10.32,-0.39,25.0,False,23.0
000017,,29.1,42,"yangyin(-0.13), trend_gap(-0.13), j_low(+0.13)",,"yangyin(-0.13), trend_gap(-0.13), j_low(+0.13)",0.6479,1.0,0.8047,0.0,0.0,0.5328,0.1136,0.0,0.0,0.0,0.0,False,False,False,5.05,-1.37,22.3,False,
000011,,23.88,43,"j_low(-0.22), trend_gap(-0.13), yangyin(-0.06)",房地产,"j_low(-0.22), trend_gap(-0.13), yangyin(-0.06)",0.0,1.0,0.7292,0.0,0.0,0.5842,0.2002,0.3,0.0,0.0,1.0,False,False,False,7.32,2.52,38.5,False,23.0
000007,,16.7,44,"j_low(-0.22), vol_shrink(-0.17), ql_pos(+0.15)",酒店旅游,"j_low(-0.22), vol_shrink(-0.17), ql_pos(+0.15)",0.0,0.5988,0.2384,0.1498,0.0,0.1614,0.1989,0.3,1.0,0.0,0.0,False,False,False,13.84,5.41,47.9,False,
000425,,16.53,45,"vol_shrink(-0.19), j_low(-0.19), surge(+0.11)",机械行业,"vol_shrink(-0.19), j_low(-0.19), surge(+0.11)",0.0602,0.3454,0.411,0.1145,0.0112,0.1239,0.2946,0.6,0.0328,0.0,0.0,False,False,False,9.27,-6.93,834.4,False,
000025,,12.07,46,"vol_shrink(-0.25), j_low(-0.22), pct_calm(-0.15)",汽车制造,"vol_shrink(-0.25), j_low(-0.22), pct_calm(-0.15)",0.0,0.0,0.1186,0.0927,0.0243,0.0,0.2722,0.6,0.4667,0.0,1.0,False,False,False,15.64,9.99,61.4,False,
000030,,5.64,47,"vol_shrink(-0.25), yangyin(-0.14), j_low(-0.12)",汽车制造,"vol_shrink(-0.25), yangyin(-0.14), j_low(-0.12)",0.1924,0.4191,0.6653,0.034,0.0,0.0,0.104,0.3,0.0,0.0,0.0,False,False,False,4.47,-6.49,74.7,False,
000004,,0.0,48,"vol_shrink(-0.25), j_low(-0.22), yangyin(-0.19)",生物制药,"vol_shrink(-0.25), j_low(-0.22), yangyin(-0.19)",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.76,0.0,3.5,False,
