symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,pattern_state,close,pct_change,yellow_line,above_yellow,float_mv_yi,concepts,sector_score,strict_signal,strategies
688300,,95.06,21,"vol_shrink(+0.32), j_low(+0.24), ml_score(+0.22)",,"vol_shrink(+0.32), j_low(+0.24), ml_score(+0.22)",1.0,1.0,0.6215,1.0,1.0,0.7172,0.4719,0.0,1.0,1.0,0.0,0.5,0.7,0.5029,True,False,False,False,B1候B2,189.01,-1.56,179.27,True,456.4,科创50/存储芯片/先进封装,,True,B1
301377,,94.98,22,"vol_shrink(+0.35), amplitude(+0.27), j_low(+0.24)",,"vol_shrink(+0.35), amplitude(+0.27), j_low(+0.24)",1.0,1.0,0.6664,1.0,1.0,0.7417,0.4221,0.0,1.0,1.0,0.0,0.5,0.7,0.4227,True,False,False,False,B1候B2,488.89,0.59,427.7,True,34722.9,高端装备/工业母机/机器视觉,,True,B1
603181,,94.9,23,"amplitude(+0.38), j_low(+0.24), pct_calm(+0.20)",,"amplitude(+0.38), j_low(+0.24), pct_calm(+0.20)",1.0,1.0,0.7201,0.7481,1.0,0.6255,0.6145,0.6,0.6012,1.0,0.0,0.5,0.0,0.4487,True,False,False,False,B1候B2,15.62,-0.64,15.55,True,9195.5,染料/有机硅概念,,True,B1
688727,,94.66,24,"vol_shrink(+0.36), amplitude(+0.36), pct_calm(+0.20)",次新股,"vol_shrink(+0.36), amplitude(+0.36), pct_calm(+0.20)",0.8001,1.0,0.7082,1.0,1.0,0.7506,0.4811,0.0,0.0,1.0,0.0,1.0,0.7,0.3995,True,False,False,False,B1候B2,62.74,-0.51,58.89,True,3152.3,创投/存储芯片/福建自贸区,23.8,True,B1
600552,,94.58,25,"vol_shrink(+0.37), j_low(+0.24), amplitude(+0.21)",玻璃行业,"vol_shrink(+0.37), j_low(+0.24), amplitude(+0.21)",1.0,1.0,0.6348,1.0,1.0,0.7595,0.4001,0.0,1.0,1.0,0.0,0.5,0.7,0.4378,True,False,False,False,B1候B2,23.48,-0.3,21.79,True,22179.4,光伏概念/华为概念/触摸屏,38.0,True,B1
300429,,94.27,26,"vol_shrink(+0.38), j_low(+0.23), pct_calm(+0.20)",化工行业,"vol_shrink(+0.38), j_low(+0.23), pct_calm(+0.20)",0.9681,1.0,0.6119,1.0,1.0,0.7647,0.7054,0.0,0.6512,1.0,0.0,0.5,0.7,0.462,True,False,False,False,B1候B2,15.55,0.58,15.49,True,6243.0,专精特新/光刻胶,46.5,True,B1
301297,,94.15,27,"vol_shrink(+0.40), j_low(+0.24), amplitude(+0.21)",,"vol_shrink(+0.40), j_low(+0.24), amplitude(+0.21)",1.0,1.0,0.6361,1.0,1.0,0.7807,0.5476,0.3,1.0,1.0,0.0,0.5,0.7,0.407,True,False,False,False,B1候B2,51.45,-0.06,47.87,True,18675.2,股权转让(并购重组)/光刻机/OLED,,True,B1
688381,,94.05,28,"vol_shrink(+0.53), pct_calm(+0.20), j_low(+0.18)",,"vol_shrink(+0.53), pct_calm(+0.20), j_low(+0.18)",0.8335,1.0,0.5866,1.0,1.0,0.8869,0.2276,0.3,1.0,1.0,0.0,0.5,0.7,0.418,True,False,False,False,B1候B2,43.65,-2.28,40.98,True,10803.4,小米概念/汽车电子/机器人概念,,True,B1
301200,,93.49,29,"vol_shrink(+0.44), pct_calm(+0.20), j_low(+0.19)",,"vol_shrink(+0.44), pct_calm(+0.20), j_low(+0.19)",0.8661,1.0,0.6098,1.0,1.0,0.8165,0.5693,0.0,1.0,1.0,0.0,0.5,0.7,0.4246,True,False,False,False,B1候B2,336.63,-1.83,286.43,True,1431.5,工业母机,,True,B1
603004,,93.25,30,"amplitude(+0.41), vol_shrink(+0.24), pct_calm(+0.20)",,"amplitude(+0.41), vol_shrink(+0.24), pct_calm(+0.20)",0.6698,1.0,0.7361,0.7511,1.0,0.6614,0.6682,0.3,0.693,1.0,0.0,1.0,0.0,0.4311,True,False,False,False,B1候B2,22.51,-2.09,22.03,True,1325.4,染料,,True,B1
