rank,sector,score,tags,note,members
1,煤炭行业,61.5,顺周期/红利,平量+白>黄,41
2,金融行业,45.1,红利,放量上攻+5日+3.2%,51
3,有色金属,43.6,顺周期,放量上攻,72
4,玻璃行业,43.0,顺周期,平量+白>黄,19
5,其它行业,42.4,,平量+白>黄,160
6,电力行业,42.3,防御/红利,平量+白>黄,62
7,物资外贸,41.7,,放量上攻,21
8,电子器件,39.8,科技,平量+白>黄,152
9,化工行业,38.8,顺周期,放量上攻,150
10,纺织机械,38.8,顺周期,放量上攻+5日+4.6%,8
11,公路桥梁,38.3,防御/红利,放量上攻,20
12,开发区,38.1,,放量上攻,10
13,家具行业,35.4,消费,平量,16
14,家电行业,34.8,消费,放量上攻,37
15,发电设备,34.0,,平量+白>黄,65
16,次新股,33.2,,放量上攻,135
17,农药化肥,31.8,,放量上攻,46
18,交通运输,30.7,顺周期,放量上攻,87
19,飞机制造,30.6,,放量上攻,14
20,钢铁行业,29.9,顺周期,放量上攻,60
21,生物制药,29.4,医药,放量上攻,155
22,农林牧渔,29.0,消费/防御,放量上攻,64
23,医疗器械,28.9,医药,放量上攻,31
24,食品行业,28.6,消费,平量,58
25,酒店旅游,26.8,消费,平量,35
26,塑料制品,26.7,,平量,33
27,纺织行业,24.1,,平量,42
28,水泥行业,23.9,顺周期,平量,26
29,综合行业,23.1,,放量上攻,33
30,供水供气,22.8,,缩量,25
31,房地产,22.3,顺周期,平量,123
32,服装鞋类,22.1,,平量,49
33,石油行业,22.0,顺周期/红利,放量上攻,24
34,环保行业,21.5,防御,平量,27
35,化纤行业,20.3,顺周期,平量,26
36,酿酒行业,19.1,消费,平量,33
37,机械行业,19.0,顺周期/科技,平量,211
38,建筑建材,18.3,,平量,91
39,造纸行业,17.5,顺周期,平量,24
40,汽车制造,17.3,顺周期/消费,平量,103
41,商业百货,16.6,消费,平量,93
42,传媒娱乐,16.1,科技,平量,40
43,船舶制造,15.3,顺周期,平量,8
44,电器行业,14.4,科技/消费,平量,58
45,仪器仪表,14.3,科技,平量,48
46,电子信息,14.0,科技,平量,247
47,印刷包装,13.4,消费,缩量,20
