symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,pattern_state,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
000025,,0.3571,1.0,0.7136,0.0,0.0,0.6828,0.3859,0.3,0.0,0.0,0.0,0.0,0.0,0.5083,False,False,False,False,无明确战法态,13.18,-0.68,15.06,False,51.8,汽车制造,黄金概念/含B股/前海概念,20.5
000026,,0.8023,1.0,0.5674,0.9071,0.0,0.7113,0.1762,0.0,0.2076,0.0,0.0,0.0,0.7,0.5374,False,False,False,False,无明确战法态,18.75,-0.27,20.13,False,68.4,商业百货,国防军工/军工航天/含B股,24.6
000027,,0.5999,1.0,0.845,0.0745,0.0,0.8228,0.2022,0.0,0.0,0.0,0.0,0.0,0.7,0.4925,False,False,False,False,无明确战法态,5.98,-0.66,6.84,False,284.5,电力行业,光伏/碳交易/垃圾分类,12.0
000028,,0.0,1.0,0.8162,0.0,0.0,0.5379,0.3411,0.3,0.0,0.0,0.0,0.5,0.0,0.3905,False,False,False,False,无明确战法态,20.18,-2.42,22.33,False,96.5,商业百货,仿制药/含B股/抗癌,24.6
000029,,0.0,0.1356,0.3698,0.6022,0.0,0.6383,0.1412,0.0,0.5657,1.0,1.0,0.5,0.7,0.2994,False,False,False,False,无明确战法态,23.92,8.19,23.75,True,213.3,房地产,含B股/业绩预降/深圳本地,27.3
000030,,0.0,1.0,0.8504,0.0,0.0,0.7002,0.277,0.3,0.0,0.0,0.0,0.5,0.0,0.4606,False,False,False,False,无明确战法态,3.94,-1.75,4.48,False,65.8,汽车制造,含B股/深圳本地/参股金融,20.5
000031,,0.1164,1.0,0.7778,0.0,0.0,0.6464,0.1415,0.3,0.0,0.0,1.0,0.0,0.0,0.4532,False,False,False,False,无明确战法态,2.11,0.48,2.52,False,90.4,房地产,前海概念/业绩预升/整体上市,27.3
000032,,0.3151,0.4068,0.4804,1.0,1.0,0.091,0.6111,0.9,1.0,0.0,0.0,0.0,1.0,0.2633,False,False,False,False,B2确认,22.42,6.56,20.71,True,255.1,电子信息,碳中和/乡村振兴/电子支付,26.6
000034,,0.0,1.0,0.6662,0.0,0.6561,0.1167,0.2961,0.0,0.1914,0.0,1.0,1.0,0.0,0.5586,False,False,False,False,无明确战法态,28.83,0.95,29.42,False,244.8,煤炭行业,鸿蒙概念/乡村振兴/深圳本地,21.3
000035,,0.7233,1.0,0.7802,0.0,0.0,0.5927,0.0535,0.0,0.0,0.0,0.0,0.0,0.0,0.4349,False,False,False,False,无明确战法态,4.52,-0.66,5.5,False,104.6,电子信息,碳交易/垃圾分类/固废处理,26.6
