rank,sector,score,tags,note,members
1,电子器件,46.5,科技,平量+白>黄,152
2,金融行业,39.0,红利,平量,51
3,石油行业,38.2,顺周期/红利,放量上攻,24
4,玻璃行业,36.7,顺周期,平量+白>黄,19
5,生物制药,34.3,医药,平量,155
6,公路桥梁,33.0,防御/红利,平量,20
7,摩托车,30.8,消费,缩量,6
8,家电行业,30.5,消费,平量,37
9,水泥行业,30.4,顺周期,平量,26
10,次新股,30.0,,放量上攻,135
11,开发区,29.8,,平量,10
12,船舶制造,29.0,顺周期,平量,8
13,飞机制造,28.7,,平量,14
14,供水供气,28.7,,平量,25
15,食品行业,27.9,消费,平量,58
16,服装鞋类,27.7,,平量,49
17,房地产,27.3,顺周期,平量,123
18,电子信息,26.6,科技,平量,247
19,传媒娱乐,26.2,科技,平量,40
20,交通运输,26.2,顺周期,平量,87
21,造纸行业,25.7,顺周期,平量,24
22,家具行业,24.9,消费,平量,16
23,综合行业,24.9,,平量,33
24,物资外贸,24.8,,缩量,21
25,医疗器械,24.7,医药,平量,31
26,商业百货,24.6,消费,平量,93
27,农药化肥,23.9,,平量,46
28,陶瓷行业,23.6,,放量下跌,8
29,农林牧渔,23.4,消费/防御,平量,64
30,酒店旅游,22.2,消费,平量,35
31,纺织行业,22.0,,平量,42
32,有色金属,21.9,顺周期,平量,72
33,机械行业,21.4,顺周期/科技,平量,211
34,煤炭行业,21.3,顺周期/红利,平量,41
35,化工行业,21.1,顺周期,平量,150
36,汽车制造,20.5,顺周期/消费,平量,103
37,钢铁行业,20.4,顺周期,平量,60
38,其它行业,20.3,,平量,160
39,仪器仪表,20.2,科技,平量,48
40,酿酒行业,19.2,消费,平量,33
41,环保行业,18.9,防御,缩量,27
42,电器行业,17.5,科技/消费,平量,58
43,印刷包装,16.9,消费,平量,20
44,建筑建材,16.5,,平量,91
45,化纤行业,16.4,顺周期,缩量,26
46,发电设备,15.0,,平量,65
47,纺织机械,14.0,顺周期,平量,8
48,塑料制品,12.0,,缩量,33
49,电力行业,12.0,防御/红利,缩量,62
