symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,close,pct_change,float_mv_yi,strict_signal,sector_score,strategies,concepts
301510,,86.1,23,"yangyin(+0.28), trend_gap(+0.21), ql_pos(+0.10)",,"yangyin(+0.28), trend_gap(+0.21), ql_pos(+0.10)",0.6986,1.0,0.7876,1.0,1.0,0.4255,0.9229,0.6,1.0,0.0,0.0,1.0,1.0,0.3332,True,False,False,39.99,1.14,111.6,True,,B1+周线金叉,
300564,,85.83,24,"j_low(+0.21), yangyin(+0.17), trend_gap(+0.15)",,"j_low(+0.21), yangyin(+0.17), trend_gap(+0.15)",0.9497,1.0,0.6361,0.8735,1.0,0.4014,0.7242,0.6,0.7711,1.0,0.0,0.5,1.0,0.3605,True,False,False,16.53,2.54,18.7,True,,B1+周线金叉,
603095,,85.69,25,"trend_gap(+0.21), j_low(+0.14), bowl(+0.13)",,"trend_gap(+0.21), j_low(+0.14), bowl(+0.13)",0.7854,1.0,0.6407,1.0,1.0,0.6861,0.265,0.6,0.9779,1.0,0.0,0.5,1.0,0.4134,True,False,False,21.63,-2.04,55.9,True,,B1+周线金叉,
603489,,85.34,26,"j_low(+0.24), trend_gap(+0.21), bowl(+0.13)",,"j_low(+0.24), trend_gap(+0.21), bowl(+0.13)",1.0,1.0,0.8136,1.0,1.0,0.7309,0.3185,0.6,0.9391,1.0,0.0,0.5,0.7,0.3305,True,False,False,36.6,0.3,85.9,True,,B1,
603165,,85.31,27,"yangyin(+0.24), trend_gap(+0.21), surge(+0.18)",,"yangyin(+0.24), trend_gap(+0.21), surge(+0.18)",0.622,1.0,0.6876,1.0,1.0,0.5368,0.8497,0.9,1.0,1.0,0.0,0.5,0.7,0.2714,True,True,False,17.8,-3.0,57.0,True,,B1+量能B1,
688102,,85.17,28,"j_low(+0.24), trend_gap(+0.16), bowl(+0.13)",,"j_low(+0.24), trend_gap(+0.16), bowl(+0.13)",1.0,1.0,0.7257,0.8989,1.0,0.751,0.5808,0.3,0.8624,1.0,0.0,0.5,1.0,0.3135,True,False,False,40.58,2.42,315.5,True,,B1+周线金叉,
600770,,85.16,29,"j_low(+0.24), trend_gap(+0.21), bowl(+0.13)",综合行业,"j_low(+0.24), trend_gap(+0.21), bowl(+0.13)",1.0,1.0,0.8087,1.0,1.0,0.7008,0.1813,0.6,0.7129,1.0,0.0,0.0,1.0,0.4113,True,False,False,6.77,2.27,88.0,True,66.0,B1+周线金叉,
688178,,85.12,30,"j_low(+0.23), trend_gap(+0.21), vol_shrink(+0.17)",,"j_low(+0.23), trend_gap(+0.21), vol_shrink(+0.17)",0.9918,1.0,0.7754,1.0,1.0,0.8535,0.2844,0.6,1.0,1.0,0.0,0.5,0.7,0.304,True,False,False,34.15,0.92,29.0,True,,B1,
300696,,84.79,31,"j_low(+0.24), trend_gap(+0.21), ml_score(+0.12)",,"j_low(+0.24), trend_gap(+0.21), ml_score(+0.12)",1.0,1.0,0.715,1.0,1.0,0.6304,0.3893,0.6,0.6245,0.0,0.0,0.5,1.0,0.4293,True,False,False,34.83,-0.74,92.6,True,,B1+周线金叉,
002951,,84.72,32,"surge(+0.18), trend_gap(+0.15), bowl(+0.13)",,"surge(+0.18), trend_gap(+0.15), bowl(+0.13)",0.7487,1.0,0.7088,0.8696,1.0,0.6737,0.554,0.9,0.7621,1.0,0.0,0.5,1.0,0.3106,True,True,False,16.03,2.95,64.3,True,,B1+量能B1+周线金叉,
