symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,pattern_state,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
600062,,0.0,1.0,0.8288,0.224,0.3816,0.2902,0.4284,0.6,0.3095,0.0,0.0,0.5,0.0,0.3478,False,False,False,False,无明确战法态,16.63,-2.92,17.07,False,17265.7,生物制药,仿制药/QFII重仓/基金重仓,37.6
600063,,1.0,0.763,0.6291,0.9451,0.5329,0.7031,0.3889,0.0,0.0,0.0,0.0,0.0,1.0,0.5879,False,False,False,False,B1候B2,6.7,-4.42,7.55,False,138.6,化纤行业,光伏/皖江区域/金融参股,28.5
600064,,0.0,1.0,0.8483,0.0687,0.1093,0.6413,0.3127,0.6,0.1904,0.0,0.0,0.5,0.0,0.3683,False,False,False,False,无明确战法态,7.33,-1.87,7.68,False,126.8,开发区,金融改革/抗癌/金融参股,30.8
600066,,0.0,1.0,0.8432,0.0,0.0,0.6669,0.2365,0.0,0.4395,0.0,0.0,0.5,0.0,0.3729,False,False,False,False,无明确战法态,29.07,-0.92,29.61,False,64359.2,汽车制造,金融参股/保险重仓/QFII重仓,29.4
600067,,0.711,0.8656,0.677,0.0,0.0,0.7469,0.3683,0.6,0.0,0.0,0.0,0.0,0.0,0.6286,False,False,False,False,无明确战法态,2.78,-3.81,3.34,False,3868.8,房地产,海峡西岸/锂电池/前海概念,27.4
600071,,1.0,1.0,0.7924,0.0,0.0,0.7859,0.4052,0.6,0.0,0.0,0.0,0.0,0.0,0.4296,False,False,False,False,无明确战法态,15.94,-2.69,18.13,False,4488.3,,锂电池/参股金融/太赫兹,
600072,,0.4153,0.7311,0.6617,0.0,0.0,0.6858,0.0622,0.3,0.0,0.0,0.0,0.5,0.0,0.5335,False,False,False,False,无明确战法态,8.27,-4.61,10.46,False,8959.2,船舶制造,国防军工/军工航天/券商重仓,31.0
600073,,0.0,1.0,0.8166,0.0,0.0,0.251,0.2872,0.3,0.0457,0.0,0.0,0.5,0.0,0.3927,False,False,False,False,无明确战法态,5.0,-1.77,5.26,False,4688.6,食品行业,猪肉/国企改革/上海本地,39.0
600075,,0.0,0.2934,0.4872,0.0,0.0,0.2122,0.2604,0.0,0.0,0.0,0.0,0.5,0.0,0.5819,False,False,False,False,无明确战法态,4.1,-7.24,5.05,False,7002.0,化工行业,水利建设/生态农业/水泥概念,46.5
600076,,0.0,0.6992,0.3393,0.1703,0.0,0.3153,0.1801,0.3,0.5137,0.0,1.0,0.5,0.0,0.4309,False,False,False,False,无明确战法态,3.49,4.8,3.55,False,4692.5,电子信息,黄河三角/锂电池/土地流转,16.9
600078,,1.0,0.1014,0.4665,0.7335,0.0322,0.7205,0.2806,0.3,0.0,0.0,0.0,0.5,0.7,0.6848,False,False,False,False,B1候B2,11.79,-8.39,13.39,False,7811.7,化工行业,,46.5
600079,,0.0,1.0,0.8712,0.1956,0.4015,0.6106,0.2245,0.0,0.3824,0.0,0.0,0.5,0.0,0.4065,False,False,False,False,无明确战法态,17.28,-1.82,17.53,False,26666.1,生物制药,仿制药/武汉规划/生物疫苗,37.6
600080,,0.0,0.8252,0.6356,0.0,0.0,0.9084,0.2976,0.3,0.0,0.0,0.0,0.5,0.0,0.464,False,False,False,False,无明确战法态,4.74,-4.05,5.69,False,1769.3,生物制药,陕甘宁,37.6
600081,,0.0,1.0,0.7428,0.0,0.0,0.8172,0.1434,0.0,0.0,0.0,0.0,0.5,0.0,0.4758,False,False,False,False,无明确战法态,9.32,-2.82,10.41,False,5154.2,汽车制造,业绩预升/上海本地/EDR概念,29.4
600082,,0.0,0.3701,0.4576,0.0,0.0,0.567,0.0766,0.0,0.0,0.0,0.0,0.5,1.0,0.5273,False,False,False,False,无明确战法态,2.75,-6.78,3.17,False,1744.4,房地产,天津自贸/互联金融/天津自贸区,27.4
600084,,0.0,0.0,0.476,0.0,0.0,0.0,0.2457,0.3,0.0,0.0,0.0,0.5,0.0,0.5801,False,False,False,False,无明确战法态,4.13,-9.83,4.82,False,4641.0,酿酒行业,白酒概念/金融参股/股期概念,24.5
600085,,0.0,1.0,0.8032,0.0,0.0,0.5752,0.3417,0.6,0.0,0.0,0.0,0.5,0.0,0.3678,False,False,False,False,无明确战法态,23.09,-2.61,25.21,False,31667.2,生物制药,仿制药/社保重仓/保险重仓,37.6
600088,,0.0,1.0,0.7836,0.0,0.0,0.9049,0.1963,0.3,0.0,0.0,0.0,0.5,0.0,0.6477,False,False,False,False,无明确战法态,11.11,-2.54,13.41,False,4418.5,传媒娱乐,业绩预升,28.1
600089,,1.0,0.9145,0.7627,0.0,0.0,0.7154,0.1948,0.3,0.0,0.0,0.0,0.0,0.0,0.675,False,False,False,False,无明确战法态,20.6,-3.51,24.76,False,104087.5,发电设备,光伏/低碳经济/核电核能,18.0
600094,,0.0,0.0,0.2741,0.0,0.0,0.1551,0.1396,0.6,0.0674,0.0,1.0,0.0,0.0,0.6366,False,False,False,False,无明确战法态,3.84,10.03,4.1,False,8164.7,房地产,含B股/业绩预升,27.4
600095,,0.5002,1.0,0.8022,0.0,0.0,0.7165,0.2005,0.9,0.0,0.0,0.0,0.5,0.0,0.4525,False,False,False,False,无明确战法态,7.52,-2.97,8.44,False,21501.1,房地产,光伏/金融改革/基因概念,27.4
