rank,sector,score,tags,note,members
1,电子器件,73.7,科技,平量+白>黄,152
2,陶瓷行业,54.0,,平量+5日+6.6%,8
3,玻璃行业,52.3,顺周期,平量+白>黄,19
4,生物制药,47.0,医药,放量上攻+5日+10.3%,155
5,飞机制造,47.0,,放量上攻+5日+6.4%,14
6,服装鞋类,47.0,,放量上攻+5日+6.4%,49
7,纺织机械,45.1,顺周期,放量上攻+5日+5.5%,8
8,汽车制造,40.0,顺周期/消费,放量上攻+5日+5.7%,103
9,化工行业,39.0,顺周期,平量,150
10,农林牧渔,39.0,消费/防御,放量上攻+5日+5.8%,64
11,金融行业,39.0,红利,平量+5日+2.3%,51
12,家具行业,39.0,消费,平量+5日+4.2%,16
13,摩托车,38.1,消费,平量,6
14,医疗器械,37.8,医药,平量+5日+7.0%,31
15,其它行业,37.8,,平量+5日+2.3%,160
16,化纤行业,37.1,顺周期,平量,26
17,机械行业,36.7,顺周期/科技,平量+5日+5.1%,211
18,纺织行业,36.5,,平量+5日+5.0%,42
19,有色金属,36.0,顺周期,平量,72
20,家电行业,35.7,消费,平量+5日+5.8%,37
21,水泥行业,35.7,顺周期,平量+5日+3.5%,26
22,食品行业,35.0,消费,平量+5日+4.3%,58
23,船舶制造,34.5,顺周期,放量上攻+5日+5.9%,8
24,仪器仪表,34.2,科技,平量+5日+2.9%,48
25,开发区,33.7,,平量+5日+2.5%,10
26,次新股,33.7,,平量+5日+2.4%,135
27,塑料制品,33.5,,平量,33
28,农药化肥,33.4,,平量,46
29,电器行业,33.2,科技/消费,平量+5日+2.1%,58
30,电子信息,32.2,科技,平量,247
31,公路桥梁,32.0,防御/红利,平量+5日+2.6%,20
32,交通运输,32.0,顺周期,平量+5日+2.5%,87
33,造纸行业,31.9,顺周期,平量+5日+6.5%,24
34,商业百货,30.2,消费,平量+5日+4.9%,93
35,房地产,29.9,顺周期,平量+5日+3.0%,123
36,酒店旅游,29.9,消费,平量+5日+3.0%,35
37,钢铁行业,29.8,顺周期,平量+5日+4.8%,60
38,物资外贸,29.8,,缩量,21
39,环保行业,29.2,防御,平量+5日+2.6%,27
40,传媒娱乐,29.0,科技,平量+5日+3.1%,40
41,综合行业,28.4,,平量+5日+6.1%,33
42,发电设备,28.3,,平量+5日+2.4%,65
43,建筑建材,28.0,,平量+5日+3.1%,91
44,印刷包装,27.7,消费,平量+5日+2.4%,20
45,酿酒行业,27.4,消费,平量+5日+3.4%,33
46,供水供气,26.9,,平量+5日+3.0%,25
47,煤炭行业,26.5,顺周期/红利,平量+5日+3.1%,41
48,石油行业,26.5,顺周期/红利,平量+5日+3.0%,24
49,电力行业,26.5,防御/红利,平量,62
