rank,sector,score,tags,note,members
1,家电行业,74.0,消费,平量+白>黄,37
2,塑料制品,74.0,,平量+5日+2.9%+白>黄,33
3,仪器仪表,72.0,科技,缩量+5日+5.4%+白>黄,48
4,发电设备,72.0,,缩量+白>黄,65
5,汽车制造,72.0,顺周期/消费,缩量+5日+6.8%+白>黄,103
6,其它行业,72.0,,缩量+白>黄,160
7,服装鞋类,72.0,,缩量+白>黄,49
8,玻璃行业,71.5,顺周期,缩量+白>黄,19
9,食品行业,71.4,消费,缩量+5日+8.7%+白>黄,58
10,有色金属,71.1,顺周期,缩量+5日+4.2%+白>黄,72
11,电子信息,67.4,科技,缩量+白>黄,247
12,综合行业,66.0,,放量下跌+白>黄,33
13,电子器件,65.3,科技,缩量+白>黄,152
14,电力行业,64.1,防御/红利,平量+白>黄,62
15,开发区,62.0,,放量上攻+5日+3.3%,10
16,纺织行业,62.0,,放量上攻+5日+19.3%,42
17,医疗器械,52.0,医药,缩量+5日+8.6%,31
18,金融行业,52.0,红利,缩量,51
19,酒店旅游,52.0,消费,缩量,35
20,钢铁行业,50.4,顺周期,缩量+5日+5.9%,60
21,供水供气,47.7,,缩量+白>黄,25
22,环保行业,45.5,防御,缩量+白>黄,27
23,物资外贸,43.9,,放量上攻,21
24,公路桥梁,39.0,防御/红利,平量,20
25,电器行业,39.0,科技/消费,平量,58
26,飞机制造,36.0,,缩量,14
27,传媒娱乐,33.4,科技,平量,40
28,煤炭行业,32.3,顺周期/红利,缩量+5日+3.7%,41
29,交通运输,31.5,顺周期,平量,87
30,酿酒行业,31.1,消费,平量,33
31,农林牧渔,30.3,消费/防御,缩量,64
32,生物制药,24.5,医药,缩量,155
33,农药化肥,23.5,,缩量,46
34,次新股,22.0,,放量上攻,135
35,建筑建材,17.7,,缩量,91
36,化工行业,17.0,顺周期,缩量,150
37,房地产,17.0,顺周期,缩量,123
38,商业百货,16.8,消费,缩量,93
39,水泥行业,16.5,顺周期,缩量,26
40,造纸行业,15.8,顺周期,缩量,24
41,石油行业,12.0,顺周期/红利,缩量,24
42,机械行业,12.0,顺周期/科技,缩量,211
