rank,sector,score,tags,note,members
1,玻璃行业,82.0,顺周期,放量上攻+5日+3.1%+白>黄,19
2,电子器件,74.0,科技,平量+5日+2.7%+白>黄,152
3,电力行业,65.3,防御/红利,平量+白>黄,62
4,有色金属,62.0,顺周期,放量上攻+5日+9.0%,72
5,化工行业,59.2,顺周期,放量上攻+5日+5.4%,150
6,塑料制品,54.0,,平量+5日+2.3%,33
7,煤炭行业,44.3,顺周期/红利,平量+白>黄,41
8,其它行业,41.7,,放量上攻,160
9,化纤行业,40.6,顺周期,放量上攻,26
10,金融行业,38.4,红利,平量+5日+4.9%,51
11,物资外贸,35.1,,平量+5日+4.6%,21
12,家具行业,35.0,消费,平量,16
13,家电行业,31.7,消费,平量,37
14,水泥行业,29.8,顺周期,平量,26
15,房地产,29.6,顺周期,平量,123
16,仪器仪表,29.4,科技,平量,48
17,机械行业,29.0,顺周期/科技,平量,211
18,交通运输,28.9,顺周期,平量,87
19,食品行业,28.5,消费,平量,58
20,电器行业,28.3,科技/消费,平量,58
21,环保行业,28.2,防御,平量,27
22,酒店旅游,27.5,消费,平量,35
23,船舶制造,27.2,顺周期,平量+5日+2.6%,8
24,钢铁行业,26.9,顺周期,平量,60
25,商业百货,26.7,消费,平量,93
26,次新股,26.6,,平量+5日+2.7%,135
27,医疗器械,26.5,医药,平量,31
28,电子信息,26.5,科技,平量,247
29,发电设备,26.5,,平量,65
30,飞机制造,26.5,,平量,14
31,纺织行业,26.5,,平量,42
32,纺织机械,26.5,顺周期,平量,8
33,农林牧渔,26.1,消费/防御,平量,64
34,公路桥梁,26.1,防御/红利,平量,20
35,印刷包装,26.0,消费,平量,20
36,汽车制造,25.0,顺周期/消费,平量,103
37,开发区,24.6,,缩量,10
38,生物制药,24.5,医药,平量,155
39,造纸行业,24.3,顺周期,平量,24
40,建筑建材,23.8,,平量,91
41,服装鞋类,23.7,,放量下跌,49
42,酿酒行业,23.3,消费,平量,33
43,石油行业,22.2,顺周期/红利,平量,24
44,供水供气,21.9,,缩量,25
45,传媒娱乐,21.0,科技,平量,40
46,综合行业,20.3,,平量,33
47,农药化肥,20.2,,放量下跌+5日+2.5%,46
