symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,pattern_state,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
000001,,0.1893,1.0,0.8573,0.4185,0.0947,0.6179,0.385,0.0,0.3137,0.0,0.0,0.0,0.0,0.3579,False,False,False,False,B1候B2,10.29,0.1,10.6,False,1996.8,金融行业,外资背景/本月解禁/社保重仓,39.0
000002,,0.0,1.0,0.7603,0.0,0.0,0.5889,0.2062,0.3,0.0,0.0,0.0,0.5,0.0,0.475,False,False,False,False,无明确战法态,3.09,0.98,3.44,False,300.2,房地产,含H股/前海概念/保险重仓,29.9
000004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6554,False,False,False,False,无明确战法态,0.45,9.76,2.7,False,0.6,生物制药,ST板块/深圳本地/互联网金融,47.0
000006,,0.1265,1.0,0.8186,0.0,0.0,0.8905,0.1346,0.3,0.0,0.0,0.0,0.0,0.0,0.5102,False,False,False,False,无明确战法态,7.41,0.82,8.43,False,100.0,房地产,前海概念/深圳本地/深圳国企改革,29.9
000007,,0.9592,1.0,0.7111,0.4479,0.0,0.823,0.3381,0.0,0.1534,0.0,0.0,0.0,0.0,0.5192,False,False,False,False,B1候B2,12.1,0.83,13.03,False,41.9,酒店旅游,稀缺资源/涉矿概念/业绩预降,29.9
000008,,0.0,1.0,0.8599,0.0,0.0,0.6934,0.1936,0.0,0.0,0.0,0.0,0.0,0.0,0.5093,False,False,False,False,无明确战法态,2.37,-0.42,2.57,False,64.4,综合行业,业绩预升/深圳本地,28.4
000009,,0.0,1.0,0.8405,0.0,0.0,0.4955,0.1978,0.3,0.0,0.0,0.0,0.0,0.0,0.5519,False,False,False,False,无明确战法态,6.39,1.91,7.45,False,164.6,房地产,三板精选/黄金概念/低碳经济,29.9
000010,,0.0,1.0,0.6099,0.0,0.0,0.6986,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.5756,False,False,False,False,无明确战法态,1.87,-0.53,2.45,False,16.2,建筑建材,金融参股/深圳本地/股期概念,28.0
000011,,0.583,1.0,0.8154,0.0,0.0,0.7533,0.1937,0.3,0.0,0.0,0.0,0.0,0.0,0.4386,False,False,False,False,无明确战法态,6.63,2.0,7.48,False,34.9,房地产,含B股/前海概念/业绩预升,29.9
000012,,0.0,1.0,0.6149,0.7884,1.0,0.2255,0.5666,0.6,1.0,0.0,0.0,1.0,1.0,0.2409,False,False,False,False,无明确战法态,5.1,1.59,4.52,True,99.9,玻璃行业,光伏/雄安新区/低碳经济,52.3
000014,,0.0271,1.0,0.8358,0.0,0.0,0.5998,0.1963,0.0,0.0,0.0,0.0,0.0,0.0,0.5617,False,False,False,False,无明确战法态,9.5,1.71,10.98,False,23.0,房地产,前海概念/深圳本地/深圳国企改革,29.9
000016,,0.0,0.647,0.685,0.0,0.0,0.281,0.1368,0.3,0.0,0.0,0.0,0.0,1.0,0.4653,False,False,False,False,无明确战法态,2.67,5.12,3.0,False,42.6,家电行业,含B股/前海概念/业绩预升,35.7
000017,,0.0,1.0,0.7222,0.0,1.0,0.065,0.3961,0.3,0.7423,0.0,0.0,1.0,0.0,0.2817,False,False,False,False,无明确战法态,6.09,1.5,5.84,True,26.8,,含B股/深圳本地/两轮车,
000019,,0.0,1.0,0.8644,0.0,0.0,0.8735,0.2209,0.0,0.0,0.0,0.0,0.0,0.0,0.5348,False,False,False,False,无明确战法态,5.92,0.34,6.55,False,24.6,食品行业,含B股/深圳本地/粮食概念,35.0
000020,,0.0,1.0,0.8315,0.0,0.0,0.6345,0.1947,0.0,0.0,0.0,0.0,0.0,0.0,0.5871,False,False,False,False,无明确战法态,11.16,0.72,12.79,False,20.2,电子器件,含B股/前海概念/业绩预降,73.7
000021,,0.0,1.0,0.2147,1.0,1.0,0.3437,0.6985,0.0,1.0,0.0,0.0,1.0,0.7,0.1953,False,False,False,False,无明确战法态,55.91,-0.21,42.11,True,880.0,电子信息,智能电网/物联网/金融参股,32.2
000025,,0.4446,1.0,0.8594,0.086,0.0,0.8264,0.4143,0.6,0.0,0.0,0.0,0.0,0.0,0.4835,False,False,False,False,无明确战法态,13.9,1.09,15.36,False,54.6,汽车制造,黄金概念/含B股/前海概念,40.0
000026,,0.0,0.9738,0.6261,0.9578,0.6411,0.4806,0.2488,0.0,1.0,0.0,0.0,0.0,0.7,0.3947,False,False,False,False,无明确战法态,21.89,3.16,20.24,True,79.8,商业百货,国防军工/军工航天/含B股,30.2
000027,,0.6137,1.0,0.914,0.2328,0.0,0.8499,0.4471,0.0,0.0,0.0,0.0,0.0,0.7,0.2734,False,False,False,False,无明确战法态,6.27,1.13,7.01,False,298.3,电力行业,光伏/碳交易/垃圾分类,26.5
000028,,0.2523,0.9852,0.7671,0.0,0.0,0.1773,0.2653,0.3,0.0,0.0,0.0,0.0,0.0,0.3909,False,False,False,False,无明确战法态,20.36,3.09,22.71,False,97.3,商业百货,仿制药/含B股/抗癌,30.2
000029,,0.8679,0.7553,0.478,0.8335,0.0,0.6922,0.1412,0.0,0.1907,0.0,0.0,0.0,0.7,0.5152,False,False,False,False,B1候B2,22.68,4.47,24.11,False,202.2,房地产,含B股/业绩预降/深圳本地,29.9
000030,,0.0,0.9962,0.7481,0.0,0.0,0.6443,0.2474,0.3,0.0,0.0,0.0,0.0,0.0,0.5163,False,False,False,False,无明确战法态,4.09,3.02,4.56,False,68.3,汽车制造,含B股/深圳本地/参股金融,40.0
000031,,0.3759,1.0,0.7829,0.0,0.0,0.6536,0.1328,0.3,0.0,0.0,0.0,0.0,0.0,0.5011,False,False,False,False,无明确战法态,2.14,-0.47,2.58,False,91.7,房地产,前海概念/业绩预升/整体上市,29.9
000032,,1.0,0.7922,0.6256,1.0,1.0,0.5442,0.4959,0.6,0.8032,1.0,0.0,0.5,1.0,0.443,False,False,False,False,无明确战法态,20.97,-4.25,20.62,True,238.6,电子信息,碳中和/乡村振兴/电子支付,32.2
000034,,0.0,1.0,0.8034,0.0,0.0111,0.2401,0.1398,0.0,0.0309,0.0,0.0,1.0,0.0,0.4317,False,False,False,False,无明确战法态,27.97,1.86,29.43,False,237.5,煤炭行业,鸿蒙概念/乡村振兴/深圳本地,26.5
000035,,0.8245,1.0,0.8301,0.0,0.0,0.7213,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.4884,False,False,False,False,无明确战法态,4.72,0.21,5.63,False,109.2,电子信息,碳交易/垃圾分类/固废处理,32.2
000036,,0.92,1.0,0.7542,0.0,0.0,0.7288,0.2187,0.0,0.0,0.0,0.0,0.0,0.0,0.5901,False,False,False,False,无明确战法态,4.32,-0.46,5.06,False,60.6,房地产,前海概念/业绩预降/深圳本地,29.9
000037,,0.2735,1.0,0.814,0.1777,0.0,0.9049,0.2662,0.3,0.0,0.0,0.0,0.0,0.0,0.4445,False,False,False,False,B1候B2,9.01,0.56,10.28,False,30.5,电力行业,含B股/深圳本地,26.5
000039,,0.4132,0.6518,0.5505,0.0,0.0,0.5083,0.1529,0.0,0.0,0.0,1.0,0.0,0.0,0.5713,False,False,False,False,无明确战法态,8.26,5.09,9.87,False,190.1,机械行业,含H股/前海概念/金融参股,36.7
000042,,0.9346,1.0,0.6761,0.2502,0.0,0.5525,0.0916,0.3,0.0,0.0,1.0,0.0,0.0,0.4729,False,False,False,False,B2确认,7.61,2.7,9.05,False,50.5,房地产,前海概念/深圳本地,29.9
000045,,0.397,1.0,0.7884,0.0,0.0,0.6346,0.1882,0.0,0.0,0.0,0.0,0.0,0.0,0.4669,False,False,False,False,无明确战法态,10.04,-0.4,11.23,False,45.9,纺织行业,含B股/深圳本地/深圳国企改革,36.5
